g_value,n,lambda_1,current_zeta_value,runtime
0.0,2,-0.0982045010680221,8,0.8116788864135742
0.0002,2,-0.09279463307655,8,0.8099665641784668
0.0004,2,-0.0888164433487999,8,0.8102874755859375
0.0006,2,-0.0859147203784206,8,0.8145825862884521
0.0008,2,-0.0843357626553588,8,0.8102831840515137
0.001,2,-0.0828377849419273,8,0.8077082633972168
0.0012,2,-0.0803003207912502,8,0.8415248394012451
0.0014,2,-0.0784897525557925,8,0.8089444637298584
0.0016,2,-0.0783255271512556,8,0.8135769367218018
0.0018,2,-0.0780143872658459,8,0.8141121864318848
0.002,2,-0.0794745092458951,8,0.8186149597167969
0.0022,2,-0.0791209937684765,8,0.8061306476593018
0.0024,2,-0.0781469250161596,8,0.8113150596618652
0.0026,2,-0.076994672590403,8,0.8199059963226318
0.0028,2,-0.0754699435760727,8,0.8149130344390869
0.003,2,-0.0745147756703847,8,0.8145873546600342
0.0032,2,-0.052665358282896,8,0.8162899017333984
0.0034,2,-0.0521427861518241,8,0.8075335025787354
0.0036,2,-0.0695154776350066,8,0.8624138832092285
0.0038,2,-0.0679646749963697,8,0.8119428157806396
0.004,2,-0.0650800978220556,8,0.8200147151947021
0.0042,2,-0.051244068201067,8,0.8120346069335938
0.0044,2,-0.0602114072749009,8,0.8108351230621338
0.0046,2,-0.0545751365030468,8,0.8105425834655762
0.0048,2,-0.0475866230846075,8,0.8198947906494141
0.005,2,-0.0545646321441516,8,0.8081912994384766
0.0052,2,-0.048559649487473,8,0.8051037788391113
0.0054,2,-0.0486042482814766,8,0.8097517490386963
0.0056,2,-0.0469661952696123,8,0.8188238143920898
0.0058,2,-0.0471266024818275,8,0.8159670829772949
0.006,2,-0.0441973319323856,8,0.8240888118743896
0.0062,2,-0.0426639745163795,8,0.8146336078643799
0.0064,2,-0.039744083246299,8,0.809067964553833
0.0066,2,-0.0405837057485146,8,0.7977771759033203
0.0068,2,-0.036427758177275,8,0.809586763381958
0.007,2,-0.0345677217607436,8,0.8101224899291992
0.0072,2,-0.0331220286868717,8,0.8196492195129395
0.0074,2,-0.0343231593350873,8,0.8130557537078857
0.0076,2,-0.0298889062805587,8,0.8200385570526123
0.0078,2,-0.0286536183669614,8,0.8214728832244873
0.008,2,-0.0296158550358846,8,0.808739423751831
0.0082,2,-0.0283727071025811,8,0.811617374420166
0.0084,2,-0.0283642157068671,8,0.8149771690368652
0.0086,2,-0.0277817044249258,8,0.8194119930267334
0.0088,2,-0.0260012434329447,8,0.8144285678863525
0.009,2,-0.0228375414332901,8,0.8108866214752197
0.0092,2,-0.0236567341154961,8,0.8166258335113525
0.0094,2,-0.0285837549119996,8,0.8098030090332031
0.0096,2,-0.0246825398974522,8,0.8060343265533447
0.0098,2,-0.0274139698569586,8,0.8175745010375977
0.01,2,-0.0243994694609861,8,0.8119373321533203
0.0102,2,-0.0282821796461557,8,0.8071532249450684
0.0104,2,-0.0279485349502181,8,0.817249059677124
0.0106,2,-0.0273534649956821,8,0.8095009326934814
0.0108,2,-0.0280165527207529,8,0.8077971935272217
0.011,2,-0.0270415402007106,8,0.8135502338409424
0.0112,2,-0.0280122650832445,8,0.8317666053771973
0.0114,2,-0.0259258714621045,8,0.8049991130828857
0.0116,2,-0.0263879834039186,8,0.8106865882873535
0.0118,2,-0.027729731633023,8,0.8176069259643555
0.012,2,-0.0273142622953271,8,0.8129980564117432
0.0122,2,-0.0253213931881097,8,0.8117892742156982
0.0124,2,-0.0259672357156532,8,0.8092730045318604
0.0126,2,-0.0263545097374994,8,0.8112738132476807
0.0128,2,-0.0256490761245238,8,0.8104541301727295
0.013,2,-0.0264778140900584,8,0.8150594234466553
0.0132,2,-0.0254633093239203,8,0.8110861778259277
0.0134,2,-0.0252374266470181,8,0.8161716461181641
0.0136,2,-0.0206044517000601,8,0.8173325061798096
0.0138,2,-0.0232413587468289,8,0.8135418891906738
0.014,2,-0.0205579188760897,8,0.8118762969970703
0.0142,2,-0.0215004135263403,8,0.8162190914154053
0.0144,2,-0.0218197335465065,8,0.8092935085296631
0.0146,2,-0.0198069560359566,8,0.8069634437561035
0.0148,2,-0.0203720531325722,8,0.8100237846374512
0.015,2,-0.0201140489542841,8,0.8117423057556152
0.0152,2,-0.0165671291866651,8,0.8147859573364258
0.0154,2,-0.0155773512913802,8,0.8096127510070801
0.0156,2,-0.0153412095667952,8,0.8122942447662354
0.0158,2,-0.0129015760714106,8,0.8064699172973633
0.016,2,-0.0145124454551804,8,0.8132498264312744
0.0162,2,-0.0150349122423254,8,0.8074123859405518
0.0164,2,-0.0154274962763078,8,0.8094010353088379
0.0166,2,-0.0133795134665379,8,0.8183243274688721
0.0168,2,-0.0173880788684169,8,0.818462610244751
0.017,2,-0.0120660037740023,8,0.8131742477416992
0.0172,2,-0.0123307694254152,8,0.8463382720947266
0.0174,2,-0.0134378939450366,8,0.8178460597991943
0.0176,2,-0.0093000224656016,8,0.8139865398406982
0.0178,2,-0.0072965184623158,8,0.8163797855377197
0.018,2,-0.0070793511660313,8,0.8122830390930176
0.0182,2,-0.0085093915521603,8,0.8430333137512207
0.0184,2,-0.0076464383286231,8,0.8049049377441406
0.0186,2,-0.0077120680606804,8,0.8180322647094727
0.0188,2,-0.0079183887627141,8,0.8095433712005615
0.019,2,-0.0049325288984673,8,0.8113596439361572
0.0192,2,-0.0027800100650959,8,0.8146123886108398
0.0194,2,-0.0024944212678328,8,0.8141191005706787
0.0196,2,-0.0045689462392029,8,0.8153030872344971
0.0198,2,-0.0065419856553594,8,0.8078780174255371
0.02,2,-0.0048986709457331,8,0.8127851486206055
0.0202,2,-0.0012613784356634,8,0.8122856616973877
0.0204,2,-0.0034320524414374,8,0.815387487411499
0.0206,2,-0.0010106476397625,8,0.8237018585205078
0.0208,2,0.0007024549229943,8,0.8161799907684326
0.021,2,-0.0037888922738759,8,0.8161518573760986
0.0212,2,-9.41262057517512e-05,8,0.817420244216919
0.0214,2,0.0020175261432473,8,0.8223254680633545
0.0216,2,0.0026696827906948,8,0.8067131042480469
0.0218,2,0.0025807840652801,8,0.8102972507476807
0.022,2,0.0038419416522914,8,0.8175966739654541
0.0222,2,-0.0077576825237341,8,0.8105804920196533
0.0224,2,-0.0021165167279835,8,0.813481330871582
0.0226,2,0.0039337036221847,8,0.8157391548156738
0.0228,2,0.0026220780273872,8,0.8140268325805664
0.023,2,0.0039657312670822,8,0.8178815841674805
0.0232,2,-0.0038397601931584,8,0.8085892200469971
0.0234,2,0.0066226497871448,8,0.8102660179138184
0.0236,2,-0.0001382404795076,8,0.812035322189331
0.0238,2,-0.0017950726066346,8,0.8106327056884766
0.024,2,-0.0058805727464575,8,0.8117215633392334
0.0242,2,-0.0060765901281731,8,0.8166654109954834
0.0244,2,-0.0060514999053546,8,0.8161547183990479
