g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.0,1,4,0.0225100517272949,0.0043427258580733,-0.0492675523778774,-0.0497197340567515,-0.0544890448479417,-inf,-inf,-inf,-inf
0.001,1,4,0.0225124359130859,-0.0045836988358967,-0.0566807073662751,-0.073715650363596,-0.1124210321387804,-0.1799719466745201,-0.2910979011301552,-1.2141431650501966,-inf
0.002,1,4,0.0225720405578613,-0.0063098180841956,-0.043968378380576,-0.0578845522919481,-0.0759286815692998,-0.1175375483965911,-0.2367791016230825,-0.996943015317192,-inf
0.003,1,4,0.0224971771240234,-0.0020291338515544,-0.0159516811038789,-0.0358172291897064,-0.0566958072072206,-0.1081599641961427,-0.2277594122559279,-0.8498831816641977,-inf
0.004,1,4,0.022507905960083,-0.0056918768607233,-0.0186268646136649,-0.0463485943183464,-0.0636245326876083,-0.083234247849651,-0.1870232820474307,-0.8220783820502741,-inf
0.005,1,4,0.0225675106048584,-0.0027237343897919,-0.0173603805569411,-0.0353970343052643,-0.0569697049050822,-0.0855173362927374,-0.1962988093208965,-0.889667207369151,-inf
0.006,1,4,0.022796630859375,-0.0005573465235266,-0.0136415358421329,-0.0286060249033816,-0.0549139562664235,-0.0835897839668796,-0.1749478741359572,-0.8807439350690758,-inf
0.007,1,4,0.0227413177490234,0.008092441801203,-0.0097690704547324,-0.028510927111603,-0.0511239429728541,-0.0858134295572496,-0.1569883589092239,-0.804567317025943,-inf
0.008,1,4,0.0388596057891845,0.0047626996035094,-0.0063247663966134,-0.0215350228382142,-0.0513344992538696,-0.0758213995876418,-0.1427588744074844,-0.7674184248032775,-inf
0.009,1,4,0.0389330387115478,0.0045152421108035,-0.012504373976096,-0.0244165244358159,-0.0503747245099568,-0.0740835669520224,-0.1441862630601782,-inf,-inf
0.01,1,4,0.0389719009399414,0.0043581207831165,-0.010553632840839,-0.0216363637531101,-0.0438300676842207,-0.0678363787871098,-0.1300761309171244,-0.6389672393573612,-inf
0.011,1,4,0.0374350547790527,0.0097553921748704,-0.0057034769616772,-0.0157433658397021,-0.0485198246194055,-0.0677883149143343,-0.1369020058207458,-0.7693982245236217,-inf
0.012,1,4,0.0379900932312011,0.0089528747938289,-0.0045014536099733,-0.0158017109580344,-0.0457789141176725,-0.0753358912634242,-0.124524050956019,-0.6803799560779201,-inf
0.013,1,4,0.037055492401123,0.0119222080208659,-7.007143205822003e-05,-0.0140183208981137,-0.0420346380667126,-0.0653272357725525,-0.1259602531206002,-0.6315077885052932,-inf
0.014,1,4,0.0226721763610839,0.0180033989405798,-0.0014745880314422,-0.010836666530886,-0.042408954145659,-0.0661766640113584,-0.1240059606198425,-0.6877558115239234,-inf
0.015,1,4,0.0383567810058593,0.0176821870726714,0.0016723823524283,-0.0074378457655361,-0.0384880392495599,-0.070598578068775,-0.1235919242817196,-0.64988178452961,-inf
0.016,1,4,0.0369815826416015,0.0219118693664152,0.0011836581438033,-0.0108623398842374,-0.0383267096776209,-0.0569086135635036,-0.1035436063279952,-0.547839237909096,-inf
0.017,1,4,0.0383081436157226,0.0214908396619662,-0.0003882177805036,-0.006701151849039,-0.0380658076485522,-0.0645820281523952,-0.1229073100052402,-0.6119678543490195,-inf
