g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.0,1,4,0.0233392715454101,-0.101255403293331,-0.1016120471414864,-0.1018248139948944,-0.102732006087199,-inf,-inf,-inf,-inf
0.001,1,4,0.0230021476745605,-0.0986853619971153,-0.108947813199542,-0.116778647647509,-0.1277323053668151,-0.3051779583784985,-0.7287490975771136,-2.433251999943336,-inf
0.002,1,4,0.023611307144165,-0.0788461526887373,-0.0994843213382907,-0.1175286769501171,-0.1286483775603492,-0.1358271956992278,-0.3835962295647371,-1.226079244688959,-inf
0.003,1,4,0.0233254432678222,-0.0652567332118186,-0.0870970134115783,-0.0881986528612434,-0.1115715250227759,-0.1187629995262635,-0.3774174966877279,-2.660516946753808,-inf
0.004,1,4,0.023329734802246,-0.0622404794305179,-0.0789746193385677,-0.0824502060696508,-0.0962892937005239,-0.1534605097481167,-0.2497531149724188,-1.0468450910940164,-inf
0.005,1,4,0.0234241485595703,-0.0324034755568869,-0.0697197910511258,-0.0706067343772117,-0.0747199372815315,-0.1191817001523727,-0.7855678470376283,-2.698623022994552,-inf
0.006,1,4,0.0234608650207519,-0.0433809919404337,-0.0478176468347553,-0.052690994684637,-0.0962520637018605,-0.1511967431165476,-0.2261692488019001,-0.5489491921808415,-inf
0.007,1,4,0.0233643054962158,-0.0324488369206854,-0.0342369925044562,-0.0484099703258952,-0.1017407374992906,-0.1281159767356381,-0.2813434853363727,-0.8115232687675576,-inf
0.008,1,4,0.0389020442962646,-0.0257982626506287,-0.0412473135312399,-0.0414605095605481,-0.0866143902978027,-0.0927373925929855,-0.362732543966601,-inf,-inf
0.009,1,4,0.0388648509979248,-0.0259691755879068,-0.0412010616829739,-0.050440548598502,-0.060616367673692,-0.0746083999696499,-1.159728094172226,-2.8972189986115704,-inf
0.01,1,4,0.039189338684082,-0.0317815631085643,-0.0509067407292916,-0.0553764998232476,-0.0626957153658838,-0.0671741983387117,-0.7144481423082613,-3.0170307864301624,-inf
0.011,1,4,0.0387675762176513,-0.0295825645454386,-0.0368337183202593,-0.0403952336375744,-0.0532282444936351,-0.0638084908718273,-0.4204773338251278,-2.8292297028465576,-inf
0.012,1,4,0.0386710166931152,-0.0291476477361086,-0.0431963187259439,-0.0442974318239948,-0.0486294145445084,-0.0672911864540022,-0.2761367565245982,-0.8809672047330122,-inf
0.013,1,4,0.03826904296875,-0.025656748674572,-0.0274681241110328,-0.0290667858807428,-0.0535707452052549,-0.0660162007868786,-0.2740262870851429,-0.8172992079402119,-inf
0.014,1,4,0.0236322879791259,-0.0199741684972836,-0.0316299790416652,-0.0339986490404512,-0.0511969050465478,-0.0522405156850493,-0.4714330691832117,-0.942238580797084,-inf
0.015,1,4,0.0384957790374755,-0.0134145157424174,-0.0162353376980868,-0.026736606717626,-0.0537792849105607,-0.0610955598494089,-0.2738705625667385,-0.7623306761352603,-inf
0.016,1,4,0.038954734802246,-0.0174931008002576,-0.0294017100408064,-0.0336104709393852,-0.0415525863266617,-0.0423666000539929,-0.4237696806721301,-0.9344564926596296,-inf
0.017,1,4,0.038292646408081,-0.0181960815877036,-0.0284746811903255,-0.0308941982175755,-0.0359939987442028,-0.0393405291812086,-2.6255075007235966,-3.054804757042956,-inf
0.018,1,4,0.0233304500579834,-0.017415897919662,-0.0271096612878297,-0.0293264660292516,-0.0364672136013442,-0.0404998786631935,-0.6983624330641978,-3.1600511864518843,-inf
0.019,1,4,0.0232636928558349,-0.0077012066372154,-0.008538938011033,-0.0220235039209982,-0.0460676591031958,-0.0510475210564042,-0.7198655727921913,-3.0126304657313647,-inf
0.02,1,4,0.0230195522308349,-0.0147193545244324,-0.0179339723817371,-0.0237950312524244,-0.047327794516542,-0.0513579049196109,-1.7543808494575783,-2.97999588360666,-inf
0.021,1,4,0.0386378765106201,-0.0143015270647274,-0.0183117859454284,-0.0214908223751748,-0.0325387144068865,-0.0426188121533411,-0.301691407782761,-0.6246559071442759,-inf
0.022,1,4,0.0386779308319091,-0.0115962773939944,-0.0142771552478906,-0.0205177460856099,-0.0316642507078084,-0.0442390835451955,-2.440768670389841,-2.9835916688000133,-inf
0.023,1,4,0.023392915725708,-0.009718439571266,-0.013862459543439,-0.0191204752137089,-0.0310969893670932,-0.0402340674076633,-0.2999676944418893,-0.59243620384073,-inf
0.024,1,4,0.0385546684265136,0.0004575229351227,-0.001904038399569,-0.0210044109465956,-0.0465984368776872,-0.0498799191542183,-2.894811838738217,-3.0580020188300456,-inf
0.025,1,4,0.0378766059875488,0.0020340898815657,-0.0011199073072013,-0.0161854308888875,-0.0334796443225224,-0.0365929409557753,-0.4329557279075725,-3.07870540798948,-inf
