g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.0,1,4,0.0226740837097167,0.0276587545840518,0.0125145290273893,-0.0058090196532513,-0.0062733453655815,-inf,-inf,-inf,-inf
0.001,1,4,0.023240327835083,0.0246336999436135,0.0052334771697285,-0.0028364847453668,-0.0063788982444916,-0.0633594337650241,-0.1461913201948771,-0.330179246751818,-2.403610049342572
0.002,1,4,0.0229060649871826,0.0292760332736818,0.0054035001394851,0.001154009698031,-0.0058899608601869,-0.0519651845612755,-0.1463666873102125,-0.2389195205105695,-inf
0.003,1,4,0.0228712558746337,0.0129195954082601,0.0027962298946081,-0.0031657944402431,-0.0060143185632742,-0.0460651631101506,-0.1305662910244996,-0.2492596512461264,-2.1635216604692946
0.004,1,4,0.0227420330047607,0.0201565654775996,0.0051061362049284,-0.0021841276140719,-0.0054949652379569,-0.0470641640660801,-0.1176067348145287,-0.2383559912514481,-inf
0.005,1,4,0.0232596397399902,0.0268387479885854,0.0066657870252419,-0.0021157425307883,-0.0046380428973122,-0.0430887615475744,-0.1056310621638413,-0.2626191656151802,-2.1038274585047896
0.006,1,4,0.0232117176055908,0.0242104259175825,0.0149188355443958,-0.0013249482592874,-0.0052691168849816,-0.0377272348771668,-0.1077343501282546,-0.2281319021865686,-inf
0.007,1,4,0.0228042602539062,0.0267196328973561,0.0105008623109561,0.0042134260929652,-0.0052683411287202,-0.0314823092918397,-0.1057756393227401,-0.2588122982383414,-inf
0.008,1,4,0.0380241870880126,0.0205008957341099,0.0070874643476495,-0.0054739532305152,-0.0071220136473226,-0.035696000051586,-0.0989523780169532,-0.2544082065365983,-inf
0.009,1,4,0.0380980968475341,0.0243374131838136,0.011987387407485,0.0011743189027549,-0.0053410530903336,-0.0306616398760882,-0.0791109231359264,-0.2071817128292892,-inf
0.01,1,4,0.0385451316833496,0.0316260379416713,0.0113430135999102,-0.0023505859351183,-0.0046045383642756,-0.0211046395457257,-0.0946558872050341,-0.1981432403360966,-inf
0.011,1,4,0.0374011993408203,0.0202065856070662,0.0087058224318467,0.0007191559639475,-0.0046303639577761,-0.0268726697177725,-0.0865242526503156,-0.1840743386043172,-inf
0.012,1,4,0.0382616519927978,0.0273010853213337,0.0137117013817843,-0.0021141763205818,-0.0052969881262874,-0.0364288870979911,-0.0805382530839826,-0.2187097121512484,-inf
0.013,1,4,0.037917137145996,0.027175025255937,0.0148334019633451,0.0008532964862942,-0.0048279549214895,-0.0387392945648489,-0.0806715089458459,-0.19044693935439,-inf
