g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.0,2,4,0.1273930072784423,0.034333394884524,0.0329468152127732,0.0297074226597489,0.0286350590224445,0.0215595244818847,-0.0011456355610318,-0.0061558564495475,-0.0108248163638122,-0.0155596563723735,-0.0238311317162292,-0.0241771521005466,-0.0448669725144672,-0.0452891000078924,-0.049298753024669,-0.0517192220186791,-0.0518626869496869,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,2,4,0.1258413791656494,0.0326365433602919,0.0319887491116293,0.0231886380686657,0.0221284160398124,0.0181482577047056,-0.0010607172099999,-0.0083602526097116,-0.011548834613537,-0.0200768085937077,-0.0211288476180265,-0.0235854074914945,-0.027204848958606,-0.0332205559031673,-0.0363459818473815,-0.0452412840128874,-0.0638905164725993,-0.086476006357716,-0.1010566571079372,-0.1043334716527065,-0.1257715894004989,-0.1448583083651744,-0.2128627527899228,-0.2700325774256961,-0.3006431539359147,-0.3336321380206455,-0.4236616078037,-0.574550396682624,-0.80004069659785,-1.4166178548425798,-3.0358881561488733,-7.05566324473952,-inf
0.002,2,4,0.1256566047668457,0.0321019817354601,0.0299526341859669,0.0232603739965671,0.0227315368685883,0.0208510955116953,-0.0021042327060669,-0.0066020321470701,-0.0131186949429591,-0.0195417320553058,-0.0208340226690977,-0.0232174685252669,-0.0274945985750722,-0.0327526681891977,-0.0368444458250959,-0.0479215898536599,-0.0642297762996829,-0.0840966796360549,-0.0972815410784731,-0.1042920792759199,-0.1110377247185211,-0.1336339431162105,-0.179412624577572,-0.2279468937597207,-0.2657796684560471,-0.2837610310733998,-0.3428386320857303,-0.4570563571465029,-0.6346398071070056,-1.05889738736295,-2.500462062635953,-5.83480954510067,-inf
0.003,2,4,0.1256289482116699,0.0389887485262529,0.034097094190486,0.0213396266878371,0.0198181803131372,0.0176477382111767,0.0002408731726766,-0.002901178862043,-0.005668333790221,-0.020593784262041,-0.0206020192946424,-0.0213203122661724,-0.0255805873649064,-0.0318680926261415,-0.0370161719385388,-0.047178654062636,-0.0567615899613592,-0.0832499796090037,-0.0951249479085994,-0.1067182605790818,-0.1158664450082018,-0.131450726900516,-0.1550738727820889,-0.1900410691854047,-0.2170895561290159,-0.2526732967322004,-0.3090926841795096,-0.3779826428918589,-0.537843992869576,-0.9653256485054202,-2.214614947398569,-5.741627184862536,-inf
0.004,2,4,0.1261532306671142,0.0350973964557998,0.0313995196193792,0.0231806573695941,0.0217770309646064,0.0157881444997404,0.0006832844801818,-0.0028686214165572,-0.00481829673522,-0.0196148994264412,-0.0211296753704419,-0.0216316430045354,-0.0280091919049101,-0.0331366535528081,-0.0444819840202489,-0.0467195659851261,-0.0524306513835163,-0.0736362654713476,-0.0755015036281338,-0.0878187623713556,-0.1022279528792637,-0.1132814444472141,-0.1392835568981316,-0.1617735114787886,-0.2049392582426444,-0.244494409751823,-0.2998952503966863,-0.3689264925397739,-0.528728130199091,-0.9199479344656232,-2.138942298199,-5.597791820931034,-inf
0.005,2,4,0.1277639865875244,0.0385036665520099,0.0359688847348596,0.0251053586284824,0.0231561061531536,0.0179145797733251,0.0057999963590527,-0.0031520259744018,-0.0040445194655392,-0.0193639334406811,-0.0196822492581197,-0.0211689453617871,-0.0300231047342955,-0.0345911398802175,-0.0402638305294371,-0.0466297627576209,-0.0493832876455672,-0.0675410200683225,-0.0744129597044879,-0.0835550256218144,-0.0962130379794527,-0.1049684266655168,-0.1291385100844779,-0.155647960229994,-0.1820492504342234,-0.2235965069640374,-0.2766183440789271,-0.3413283236154678,-0.4723215814390609,-0.873017018807984,-2.14885879779067,-5.338018880698213,-inf
0.006,2,4,0.1258327960968017,0.0400511211468534,0.0343262495836272,0.019667099743863,0.019280326829355,0.0171343913168334,-0.0012731640082347,-0.0025520005705975,-0.0034883221549464,-0.0207913400933839,-0.0208222129232041,-0.0260736407022618,-0.0285727769463645,-0.0336557242713706,-0.0378530810257777,-0.0426489498188998,-0.0499688206114854,-0.0664321576088992,-0.0722413370644398,-0.0764905124466108,-0.0888178496946883,-0.1020831873861722,-0.1196366151743264,-0.1457185885911939,-0.1760481957281947,-0.2091419215810122,-0.2575605659105367,-0.324881068877704,-0.4507683647343039,-0.8027651429193857,-1.965132920073697,-5.30701948756602,-inf
0.007,2,4,0.1264674663543701,0.0331475771780692,0.0303685851698293,0.0238677667822345,0.0212262188870716,0.0131376009469531,0.0069097014779736,-0.0040258607303514,-0.0045935780658185,-0.0204446859837165,-0.0217830984736515,-0.0279134460433667,-0.0295793585121644,-0.0348825439820702,-0.0359102428530105,-0.0401893635721814,-0.0472696906091799,-0.0638407704247531,-0.0641237557708092,-0.0749779179425801,-0.0895061356072949,-0.0967768903536825,-0.1133420569285177,-0.1368227220996588,-0.1636951779966097,-0.1944576369980108,-0.261209142633661,-0.3253904613727107,-0.4374117385072623,-0.7953760721216142,-1.9529532650706265,-5.152882928082029,-inf
0.008,2,4,0.2113287448883056,0.0373537461991187,0.0326880232030701,0.0292121873283337,0.0233223509547421,0.0128308539985971,0.0087611787720137,5.635178569697865e-05,-0.0022485014826311,-0.0205035802408868,-0.0211793988879171,-0.0244800096740006,-0.0246486412766286,-0.0288005544023735,-0.0337422218826633,-0.0354758697165805,-0.0433279721834963,-0.0619739592132774,-0.063089650198894,-0.0719878250328146,-0.0784162028028941,-0.0933387811283561,-0.1124517252693681,-0.121217783168946,-0.158975750587044,-0.1812460339691962,-0.2412938325296668,-0.2968954839479967,-0.4200337215646527,-0.7865567936306962,-1.87891250886772,-5.134301775041563,-inf
0.009,2,4,0.210447072982788,0.0378127139101013,0.0321994800072295,0.022565319190433,0.0196878688049192,0.0172556881439503,0.005477403291037,-0.001864521428745,-0.002740243660449,-0.0203081579659183,-0.0203763702527367,-0.0254888583066861,-0.0280453125410758,-0.0344232717793072,-0.035756932012012,-0.0367585273592247,-0.0436177979123106,-0.0579238413799971,-0.0595421547661996,-0.0684817357887812,-0.0780075852336516,-0.0907664823561829,-0.1077623522876425,-0.1210830895577272,-0.1536500389101378,-0.1870336420366185,-0.2312236312083809,-0.2857469609545257,-0.3972994117050042,-0.7295497279453554,-1.889793682004012,-inf,-inf
0.01,2,4,0.2141730785369873,0.0353801443970877,0.0270392226738198,0.0222429221669406,0.015890843384561,0.0126397977446278,0.0113881739893514,0.0017103878157264,-0.0053014095361722,-0.0175715772937539,-0.0199493441643041,-0.0248814110268211,-0.0296985544525141,-0.0333351352449372,-0.0349699398356716,-0.0351544859489088,-0.04121901003789,-0.0529353840179711,-0.0555446681813524,-0.0654644626888,-0.0734283295822649,-0.082429679993825,-0.0988110312176826,-0.1163473748901579,-0.1382890106941304,-0.1721582484739807,-0.2264442192013365,-0.2759150934883847,-0.3688569401108855,-0.642190717866861,-1.7762120455563453,-5.018915115723634,-inf
0.011,2,4,0.2085275650024414,0.0334909604298158,0.0286655188055161,0.0175015242029834,0.0146996998747896,0.0116358194597925,0.0041533729693756,-0.0036954912438101,-0.0039282975179456,-0.0154277445412297,-0.0180572228113566,-0.0259861466753415,-0.0271694028478595,-0.0321244359973323,-0.0335300302846304,-0.0365987314641578,-0.0382349142215012,-0.0557332331753553,-0.0559357709985464,-0.0600027133248758,-0.068940611584982,-0.0772641105775116,-0.0959693905242494,-0.1094885319363397,-0.1345237161853338,-0.1611611138434562,-0.2068813806914674,-0.2659090603014539,-0.3922622601020462,-0.7173917971634923,-1.832920542151349,-5.107350956077391,-inf
0.012,2,4,0.2073340415954589,0.0314944024162905,0.0266546050077419,0.0205370234978094,0.0185167781648671,0.0145598575030833,0.009121442460699,0.0010468637903532,-0.0031292346089418,-0.016274211684379,-0.0166714416889718,-0.026589688864965,-0.0277050104889584,-0.0313928913623205,-0.0341539941314832,-0.0380304684802052,-0.0385014228136216,-0.0526995342027746,-0.0566510707927384,-0.0620168989671209,-0.0693333953771822,-0.0797528799822156,-0.0945969253385962,-0.1121163198978517,-0.1328354488045952,-0.1606377208406412,-0.1962255714196446,-0.2628878054582907,-0.3785893388212058,-0.656326703373041,-1.6979649417111304,-inf,-inf
0.013,2,4,0.2114710807800293,0.0334673068626549,0.0276576304355401,0.0201229273023283,0.0163656278797343,0.0095698995087408,0.0081121074797647,-0.0022793462089759,-0.0033810980897324,-0.0150256470654883,-0.0150433685638731,-0.0233794741135231,-0.0269161882135935,-0.0324343249827154,-0.0328844368972316,-0.0370623074618387,-0.0381416337087624,-0.0528112066008412,-0.0537006531415647,-0.0610500445811053,-0.0687592340706626,-0.076666088314431,-0.090579222444649,-0.1094483589324139,-0.1327347586886727,-0.1531840352860129,-0.1967594777826903,-0.2592087860071297,-0.3639971214798382,-0.7080738847666966,-1.716086237259706,-5.033812399173789,-inf
0.014,2,4,0.1259303092956543,0.0292949232373019,0.0256727224449947,0.0222406523085603,0.0151357801629257,0.0110537962430054,0.0069160478048297,-0.0033418452730909,-0.004707696867079,-0.0111689401266209,-0.0127573194115484,-0.018251418845233,-0.0220452927746439,-0.0278839363801619,-0.0295486155343128,-0.0348825519694037,-0.0370060197913148,-0.0533955256334136,-0.0564757890814496,-0.0571794439786,-0.0674564734135868,-0.0734775492612791,-0.0887935813364298,-0.1014589810578426,-0.1321312792698927,-0.1540261541139774,-0.1873021116162869,-0.252164226807942,-0.3736165128197211,-0.6664852772350024,-1.599186921984168,-5.178572807595247,-inf
0.015,2,4,0.2062733173370361,0.0350594528070579,0.026703336335394,0.0230213263673236,0.0210205897308858,0.0078634350027842,0.0075545870101236,-0.0015130237127528,-0.0045881882129136,-0.0118896600155945,-0.0147970415002973,-0.0208290294728285,-0.023726464514037,-0.0301129358687111,-0.0313058115068043,-0.0348680115479762,-0.0355161695033498,-0.0497722020760272,-0.0540067095668584,-0.0570863939393804,-0.0630702805815644,-0.0723521637621193,-0.0878009677374645,-0.105935226817846,-0.1226217381876107,-0.1524029655125054,-0.1904507310574345,-0.2398690877980303,-0.3435779707845894,-0.630059982090232,-1.8072724466633812,-inf,-inf
0.016,2,4,0.2081038951873779,0.028473707931924,0.0239024277627137,0.0219878173870069,0.0180478616532388,0.0077664196942592,0.0035230628352316,-9.311449819568088e-05,-0.0048641237554054,-0.0110862801840187,-0.0117666227778617,-0.0197606661871056,-0.0214288789282552,-0.0291089216775638,-0.0310920207959401,-0.0319325076751637,-0.0361691369276347,-0.0495695424797799,-0.0522754188604075,-0.0571311555140763,-0.0626967106353767,-0.0729521984751627,-0.0829485213629084,-0.0974172543271694,-0.1188445342297853,-0.1352000778570959,-0.1778976562577931,-0.242664098187254,-0.3439676660021873,-0.6741408501898956,-1.682047930273013,-4.859222008382502,-inf
