g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.0,2,4,0.1441407203674316,-0.1010745690020385,-0.101186846745571,-0.1012116035601309,-0.1013136844017199,-0.1013235599487892,-0.1014305054012254,-0.1014523042845794,-0.1014745805931789,-0.1016585467423843,-0.1017346600460653,-0.1018954767059615,-0.1019140779382614,-0.1022008798860188,-0.1022519624106896,-0.1024251516535803,-0.1025560436790428,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,2,4,0.145327091217041,-0.0766608406825898,-0.0775088288329497,-0.0814984399530634,-0.0823879172049029,-0.0825392621947737,-0.0845995674701363,-0.093956088659226,-0.0950329304584485,-0.1002884398426739,-0.1035396114378428,-0.1036911614469116,-0.1043914649906618,-0.1055745588525613,-0.1078693672971489,-0.1138384354332954,-0.1144227243901742,-0.1621798323343059,-0.1663398626034944,-0.1758583092755936,-0.1854758874862072,-0.1946454839006254,-0.2082999399986985,-0.2115322822918372,-0.2701862616467652,-0.3415122114145585,-0.4175889714594261,-0.6443594115487578,-1.1219673380946371,-2.695707862894932,-6.649260924255046,-12.553926563210664,-inf
0.002,2,4,0.1452622413635254,-0.0722964027321785,-0.0807399987516297,-0.0836381442909164,-0.084364048345102,-0.0874781480390215,-0.0962413659085023,-0.0980765427778971,-0.1019195697779809,-0.1083840404044709,-0.1091373356513821,-0.1096144699683278,-0.1105010521267563,-0.1138246439396287,-0.129628445578483,-0.1324840436510871,-0.1443542308493494,-0.1479860431608284,-0.169714072355799,-0.1712620821984184,-0.172500864075244,-0.1764251165415076,-0.180702426433347,-0.1862370826695498,-0.3992895014348266,-0.5164899585091018,-0.6508553988232118,-0.6595311713250196,-1.0982477682720302,-1.727621121341148,-6.124588004983604,-10.07737509302658,-inf
0.003,2,4,0.1447899341583252,-0.0675293880842319,-0.0777740447642525,-0.0781043905758578,-0.0784175887041761,-0.0801019257868018,-0.0915011426620473,-0.093300589437746,-0.0955183703528338,-0.1002766132997683,-0.1003584173707799,-0.1036776626410247,-0.1104514657914424,-0.1106991382831198,-0.1110300697774132,-0.1194709264051608,-0.1201757510141582,-0.1343201761360589,-0.1351180621622486,-0.1407952913448263,-0.1435755581575203,-0.147801206213423,-0.1897674688258171,-0.1950083462615832,-0.2503960150510276,-0.3510681751228224,-0.4019837701697743,-0.8023614420877827,-1.6204691378566245,-2.070939967634182,-5.032454166544654,-10.52614264838112,-inf
0.004,2,4,0.1450295448303222,-0.0572073222712015,-0.0658782739442245,-0.0670966944587416,-0.0692935634998507,-0.0693057965998367,-0.0732710739358374,-0.0799592092082163,-0.0815991119365212,-0.0845529065401,-0.094167803678409,-0.0952532725950659,-0.0955179196471914,-0.0958420752376661,-0.0962320053905114,-0.1058565372063687,-0.1093027697219918,-0.1161451249985879,-0.1177297250927862,-0.1288469173878439,-0.129315291662959,-0.132046695711371,-0.1331116298464012,-0.154558994775189,-0.2138523980988528,-0.3396962074460352,-0.3485975314444868,-0.3695561097564945,-0.9547773917894312,-2.097424341789172,-5.596640475734799,-11.033048854985656,-inf
0.005,2,4,0.1454207897186279,-0.0424089253998464,-0.0476233623019612,-0.0525469820403179,-0.0589138180785549,-0.0631773455516271,-0.0632335883400464,-0.0665243066687029,-0.0694237031243825,-0.0714037643519398,-0.0819165671790784,-0.0824885176994307,-0.0827310145455691,-0.0863704719829764,-0.0867090048186045,-0.0950395777229749,-0.096986109436214,-0.1049841682809658,-0.1133386974315934,-0.1171968876944309,-0.1315267719439815,-0.1380686370214439,-0.1496039870160559,-0.162691774457046,-0.2033039307286407,-0.3116352822610241,-0.4267025038363883,-0.6403506878118037,-1.033573044730984,-2.363308765790432,-4.5846715273645735,-11.492154359671842,-inf
0.006,2,4,0.1506586074829101,-0.0424708412516148,-0.0464951468988134,-0.0523601280667301,-0.0545508972600144,-0.0577005666321913,-0.0614202881668675,-0.0665117358954072,-0.0669244286027491,-0.0770173442236973,-0.0785938780501785,-0.0796855824546754,-0.0833720592127616,-0.0903729826639393,-0.0927627681508734,-0.0948694104558757,-0.095301861971206,-0.1086399307085022,-0.1172093890069362,-0.1209349428858981,-0.1358917483203886,-0.1426069623288693,-0.1570572363890768,-0.1856759131275096,-0.2437361469359558,-0.3765500308895752,-0.545450813856193,-0.6924339643831099,-1.2777367966291997,-2.6203877331108987,-6.145198005840307,-10.11431755926781,-inf
0.007,2,4,0.1482565402984619,-0.0366743135210828,-0.0447776213528954,-0.0450335321533435,-0.0482215852323444,-0.0518708938622434,-0.0590839792909906,-0.061615028752881,-0.0640306212720356,-0.0672175808809916,-0.0705571263457181,-0.0745101203467136,-0.0747301240152545,-0.0760230611379097,-0.0819696946767198,-0.0893548007961735,-0.1058942441636913,-0.1099397265105164,-0.124395044745955,-0.1320069966797095,-0.1339825859509076,-0.1405185877032786,-0.2141089952325079,-0.2736758004380848,-0.3068100086305124,-0.4237095118123428,-0.5218908097470344,-0.6984075435644163,-1.158735742777022,-2.931346071972536,-5.357710074367675,-10.919635774832331,-inf
0.008,2,4,0.2406988143920898,-0.0288069550082762,-0.0298465154580405,-0.0339248283563814,-0.0387745425600357,-0.0390915879424609,-0.0421233068422987,-0.0477568578250556,-0.0482123213275423,-0.0535293545416364,-0.0545582462863459,-0.0585664520511927,-0.0638727458595368,-0.0664413863409159,-0.0668861317596707,-0.0714822711716813,-0.0866013585158552,-0.1015233468806836,-0.1032073268053867,-0.1101451838066387,-0.1281146712364719,-0.1461492427243441,-0.187085089790794,-0.2050025655161668,-0.2669316894185921,-0.3320133430721222,-0.4589003998383681,-0.6044353228501683,-1.0847950262993358,-2.277636426679979,-5.572023691320273,-12.28086579090732,-inf
0.009,2,4,0.2402424812316894,-0.0291917351569773,-0.0310004705331564,-0.0370217028734647,-0.0373813511175499,-0.0390167532012805,-0.0437522441537421,-0.0493853353776209,-0.0509083134173084,-0.0534390051353831,-0.054241851080065,-0.0543170214964907,-0.0565367629071679,-0.0588321897316724,-0.0808828916007024,-0.0893807722554718,-0.0905949066183859,-0.0933139357487717,-0.0942598507609401,-0.1026352165165998,-0.1026705324690666,-0.133878329157869,-0.3702437760007497,-0.4033495487540615,-0.4178421917745725,-0.523727384532728,-0.6529552493029124,-0.9164688089538432,-1.8196364651431507,-4.388196410800623,-8.116079392376665,-inf,-inf
