g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.0,2,4,0.1251952648162841,0.0611848691768975,-0.0010749949486034,-0.0042751056737452,-0.0045819151635477,-0.0054937149482734,-0.005951089312674,-0.006870228982161,-0.0069063383639268,-0.0072924125031621,-0.0094991332421461,-0.0157187609152398,-0.0273120549490223,-0.0521380186965515,-0.0673089298438292,-0.0812077184852504,-0.3556453377115618,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,2,4,0.125842809677124,0.0571953740079882,-0.0037134979545786,-0.003914103134409,-0.0063053959022527,-0.006772840866604,-0.0069808677605066,-0.007594955660637,-0.0091406753429425,-0.0104382467338408,-0.0131631798854352,-0.0157413267773721,-0.0293018172198656,-0.0314230265414135,-0.0545559125248064,-0.0633160263888139,-0.0756557550087368,-0.0837368034635167,-0.1099262898594348,-0.1585840089920057,-0.1895509281742498,-0.2057723686965714,-0.2373659073543445,-0.2494925918696904,-0.2662836736272157,-0.2667068049290963,-0.2968797608890176,-0.3165947302644498,-0.3756535163913924,-0.5219321512158271,-1.122974023174871,-3.470530574395298,-inf
0.002,2,4,0.1253914833068847,0.0567036158514513,0.0178003344311104,-0.0020034855047351,-0.0059263653268807,-0.0065179385099888,-0.0078360863525615,-0.0091380935701528,-0.0098490915619389,-0.0105380408018884,-0.0112346640923786,-0.0126007290120942,-0.027886192518176,-0.0330904757869271,-0.0461563146556733,-0.05765375791129,-0.0671919871059659,-0.0733570520348289,-0.0812361671673975,-0.0825175176584525,-0.1646563167604852,-0.2024691995851181,-0.2341876355962212,-0.2518596895293841,-0.2678078995816003,-0.2700808789862048,-0.2858441462639792,-0.30590721634154,-0.331971825397417,-0.3959457842222377,-0.7195830840239259,-2.4422773439863787,-inf
0.003,2,4,0.1241257190704345,0.0588486091332529,0.0197611302200135,0.003515073228412,-0.0056942137467523,-0.006043030065119,-0.0062908802476695,-0.0083769134296885,-0.0090513045304572,-0.0096625934510622,-0.0105726553846775,-0.014750978210958,-0.029025190647448,-0.0328196891560048,-0.0422689160696844,-0.0549813453907071,-0.0797773362248462,-0.0807475991673313,-0.1042829811989646,-0.1266512024138556,-0.1667792600144501,-0.1809366248915082,-0.2051911613679513,-0.2312708244734401,-0.2563543345991229,-0.2630341626761849,-0.2767866495570489,-0.3009368844656848,-0.3242317888950832,-0.3927373598178968,-0.6785139064077624,-2.4536923971501965,-inf
0.004,2,4,0.1264328956604004,0.0656221612138404,0.011247236345578,0.0022861773240282,-0.0055868907183008,-0.0058596823786263,-0.0066561168052492,-0.008708252630913,-0.0087743279500926,-0.0097616510270025,-0.0111630331996725,-0.0138079020267788,-0.0286689260199932,-0.0324767426135155,-0.041248800257342,-0.0495205229825982,-0.0776030115769154,-0.0798597323954144,-0.0850274465812237,-0.1188954192709542,-0.1602291170538134,-0.1804666112970615,-0.2011083436190079,-0.2178586799728526,-0.2565027979201165,-0.2599888631993751,-0.2763217628897771,-0.2979672982069197,-0.3139742478941015,-0.3793907943634935,-0.6937636373672671,-2.380863619816903,-inf
0.005,2,4,0.1271004676818847,0.0627077215906978,0.0175681205260406,0.0034371459871665,-0.0053598486100624,-0.0059447333772762,-0.0072704975279081,-0.0073117669035834,-0.0090349331020361,-0.0090866883910587,-0.0100764203650463,-0.0131486718049873,-0.0140817145906689,-0.031450084332262,-0.0321514318775452,-0.0376771903646261,-0.0516940382443664,-0.0640929018392524,-0.0799136894362091,-0.0833824962378298,-0.1675008080552183,-0.1778439794501854,-0.1979607514457219,-0.2310965840278143,-0.2563964825674807,-0.2620026273579432,-0.2778502605995673,-0.2975308231649188,-0.3134761326403797,-0.3416147723839419,-0.6096180383653349,-2.255739933293123,-inf
0.006,2,4,0.1251242160797119,0.0615577516864902,0.0227687582885121,0.0028440517021878,-0.0054326442727953,-0.0056108598100298,-0.0070993150797413,-0.0086617301837266,-0.0090200472163225,-0.009346744297645,-0.0095678557372389,-0.0142800000504261,-0.0188502020082761,-0.0306896136081082,-0.0340233323001993,-0.038922252788469,-0.0494998201483497,-0.0689714765692036,-0.0808527061796328,-0.0889493412247133,-0.1582417875509306,-0.166323752018956,-0.1913865437935999,-0.2011240115124484,-0.2443251347727767,-0.2579633623230113,-0.2819730843623247,-0.2957105378339298,-0.318312634796167,-0.3434555387975678,-0.668318437525007,-2.3573976019036254,-inf
0.007,2,4,0.1259262561798095,0.05708432884336,0.0140503599453776,0.0020551081460659,-0.0051095495399837,-0.0056500852857032,-0.0068219333525116,-0.0079988569382457,-0.008761032621007,-0.0088494504434133,-0.0089666903890743,-0.0139639288192308,-0.0205429821438099,-0.031406615097829,-0.0361296033270702,-0.0376371665933968,-0.049945572765646,-0.0611875050172502,-0.0847052716912244,-0.0871001078102887,-0.1504929400539143,-0.161037910007714,-0.1705782866999157,-0.1878625840049272,-0.2469096565152998,-0.2594380812772925,-0.2861757818551287,-0.2935588241444822,-0.3170655131874602,-0.3415861363374941,-0.6287953270030812,-2.36429245906924,-inf
0.008,2,4,0.210423469543457,0.0596965029275348,0.0144066262444128,0.0033338607231795,-0.0049800632634681,-0.0054938008178423,-0.0068950197265994,-0.0076751565412882,-0.008551156589689,-0.0087496019107548,-0.0089292201649876,-0.0094411195205469,-0.0136102739924624,-0.0288559460298439,-0.031959408346511,-0.0358105113010889,-0.0509607594590086,-0.064904622026715,-0.0855694075541997,-0.0973366333670299,-0.1274108734241944,-0.1492323545769379,-0.1689318991428312,-0.1909332493391433,-0.2317615317489603,-0.2551186565381753,-0.2775602278155945,-0.297380432435318,-0.3191318483232229,-0.3412101897202583,-0.7559058320199107,-2.840044281765568,-inf
0.009,2,4,0.2089734077453613,0.06855060430049,0.0226015851374952,0.0003210036203469,-0.0039708609736004,-0.0048752166524762,-0.0053622012994313,-0.0066487716204531,-0.008405099180468,-0.0087866197006502,-0.0088252714422037,-0.0091053037586523,-0.0103753215343144,-0.0116869959961997,-0.0274972382047509,-0.0411443150324431,-0.0509305915165894,-0.0586038022995547,-0.0766653985831215,-0.0871502833632571,-0.1117170071113526,-0.138469404646188,-0.1621440830022473,-0.1729087437551636,-0.2150989407727189,-0.2498124035417221,-0.273996511354104,-0.2879114590888455,-0.3161298790661881,-0.3373514359595982,-0.6225185668138242,-2.347735314037198,-inf
