g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128
0.0,3,4,0.7178747653961182,0.0632567255785279,0.0562088919682507,0.0546249528243303,0.0531248545927716,0.0530648282969673,0.0487602587351107,0.0471102876559433,0.0415147709091789,0.0398644268753636,0.039791135698485,0.039666405575495,0.0387981281641191,0.0346758772864373,0.0308209262559373,0.0298709483408918,0.0203868407251941,0.0154043499269924,0.0136151713752263,0.0128175560670097,0.0084532278481946,0.0079108461746675,-0.0020624300867827,-0.0021568691678825,-0.0042946546640386,-0.0052247116847679,-0.0054256763292218,-0.0057065065756599,-0.005898124904622,-0.0060232985239784,-0.0061409059940704,-0.0061533112332675,-0.0064530926038358,-0.0066660105591685,-0.0067832887416351,-0.0071446135790805,-0.0072341609194711,-0.0086425596890391,-0.0087324752653575,-0.0092584710170823,-0.0095448061118408,-0.0096936798412998,-0.0104020790609234,-0.0104991129847837,-0.0105100805067715,-0.010874129535296,-0.0127313865596555,-0.0132080524926949,-0.0189782622132082,-0.0215997943264178,-0.0246208676218636,-0.0257052193689987,-0.0261707949476695,-0.0267518003753344,-0.0270113085996224,-0.0432244577590426,-0.0435935582522493,-0.0467674797531993,-0.052004195571394,-0.0609165644900037,-0.0639607764558897,-0.0644492338815996,-0.0680457804529687,-0.0836526652935366,-0.1353143681866265,-0.17636110539496,-0.3302823304949771,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,3,4,0.7146377563476562,0.0551231737358992,0.0539881635379808,0.0537948780980262,0.053275218696595,0.0522455457430168,0.0516208104168901,0.0467651111357496,0.0467417267640772,0.0407586542699917,0.0389520123842327,0.0386481936918004,0.0355521888685723,0.0308747541552964,0.0261433231542178,0.0244705315467592,0.0236312616468679,0.0194803537630732,0.0143243232441871,0.0107460734552997,0.0082100875015185,0.0022954064323746,0.0006915939550972,-0.0008631011519651,-0.0032205471871115,-0.0049812468595617,-0.0054796919014461,-0.0063237987661574,-0.006982626610754,-0.0072211001186293,-0.0075019256132185,-0.0076293718713281,-0.0077570564433955,-0.0080510114755729,-0.0081344529598967,-0.0081848923234969,-0.0086592114614012,-0.008797894139488,-0.0088618418208452,-0.0091963456897295,-0.009299717088887,-0.009454591636701,-0.0099289970567027,-0.0105825471074201,-0.0119816637086668,-0.0122979913168887,-0.0124153939916279,-0.0129609866358441,-0.0131080423588935,-0.0132928845128907,-0.0177882589129489,-0.0241714652457686,-0.0256184373723616,-0.0263448177922853,-0.0286140735035111,-0.0299314543197639,-0.0303777839867979,-0.0320439954310362,-0.0328439656987692,-0.0372983372677938,-0.0409011281071353,-0.0524032442729548,-0.0587345555090628,-0.0651631249924896,-0.072481877010889,-0.0794744451653123,-0.0867328301765672,-0.0929366165632548,-0.0936032329047484,-0.1009952856247164,-0.1108533181485339,-0.1135914122339832,-0.1137384616589191,-0.1176840844702691,-0.1213252491720121,-0.1289327026551139,-0.1317392555057048,-0.1372929305630112,-0.1412719597200937,-0.1426258736956921,-0.1462491296124636,-0.1561752785271092,-0.165348806933952,-0.1667675292522836,-0.1831498132612568,-0.1882647949741127,-0.1985362371653755,-0.2041440821979013,-0.208751763734908,-0.2104488515618354,-0.2254764571502995,-0.2258242717608515,-0.2323963563709624,-0.2385555741698592,-0.244754540016101,-0.2573121861142953,-0.270496037871446,-0.2730425129476507,-0.2880943963491386,-0.2931782685919066,-0.3029960251012057,-0.3251993063636558,-0.3383240270976699,-0.339429577578366,-0.3602788166487021,-0.3723147004072959,-0.3897057970659958,-0.40751101385206,-0.4163818224028455,-0.443586136848395,-0.4813841876753275,-0.508772768759768,-0.5472772644762909,-0.6163054710283872,-0.6775003542758556,-0.7783590283716297,-0.8800222026868987,-1.0139563191694283,-1.2023619998457662,-1.436080179584457,-1.7432551398855065,-2.294340312807807,-3.024005697681327,-4.264742511895857,-6.083646839912077,-8.78661579765071,-12.198015654578048,-16.6653312216459,-inf
0.002,3,4,0.7168521881103516,0.061087730956261,0.0543436952177136,0.0538514771059892,0.0534308098826559,0.0488260906249057,0.0473567855340198,0.0470631599312373,0.0470382126393497,0.0435426565264591,0.0411512103756057,0.0395620818891212,0.0349471523807204,0.0306329506834403,0.026071890705163,0.0219279506554809,0.0205067201814879,0.0199143430872429,0.0147456902793582,0.0103149376090654,0.0094840260520226,0.0073605160742376,0.0045781820178501,0.0006205489476536,0.0003537504165878,-0.002921392584531,-0.0052974186743618,-0.0055660853793058,-0.0059114603349248,-0.0069414458329009,-0.0071895583110094,-0.0077318372839199,-0.0077688720432532,-0.0079021869357783,-0.0083156554269242,-0.0083838255884078,-0.0086434340276402,-0.0087882847712404,-0.0088187049919078,-0.0094789017267019,-0.0097850349768468,-0.0100675725716454,-0.0103218847645355,-0.0110624732985311,-0.0120189867733677,-0.0121931821460644,-0.012218419122829,-0.0122950439886066,-0.0151534980619317,-0.0161313493257581,-0.0271408256314151,-0.0274968864755548,-0.0278177878508526,-0.0282646254063381,-0.0313264409400999,-0.031635541350267,-0.0316487742691784,-0.0405759500876477,-0.0411006119717275,-0.0414624609184533,-0.0416412641954795,-0.0487578562312486,-0.057568602156032,-0.0645834628681953,-0.0682887000241041,-0.076309661913909,-0.0807635258244904,-0.0846672371947598,-0.0883398166372995,-0.0936367467224669,-0.0982378460049977,-0.1001094289396337,-0.1017913281525557,-0.1035201918181564,-0.1100293147150911,-0.1125329788844509,-0.1191485443538576,-0.1244839310843244,-0.1288045786537449,-0.1312259323268319,-0.1373787135277099,-0.1447580851764457,-0.1543091836997721,-0.1547429911291824,-0.158194383557207,-0.163384823224099,-0.17411433402757,-0.1796424096047915,-0.1916204682710303,-0.1968588562531744,-0.2062882955737845,-0.2089057495944064,-0.2157953554072175,-0.2203291363948044,-0.225632734995916,-0.231899383978641,-0.2455426478672197,-0.2509221430372201,-0.2642823343405192,-0.2708213536758183,-0.2806006597773058,-0.2887409846917886,-0.2979322023151484,-0.3053735533679471,-0.3195210506756381,-0.3334254297350246,-0.3432617060631287,-0.3553139371630321,-0.373827278429122,-0.3935845066362727,-0.4110741190517805,-0.4307927496803071,-0.4636713045542042,-0.4999709386669698,-0.5363574584743401,-0.6136309058162711,-0.7085534198826567,-0.7959795384442231,-0.9587625435931416,-1.1938385895053265,-1.469736493078558,-1.8398363371222437,-2.5297086203164616,-3.53925416484212,-4.918644128897071,-7.135614634036696,-10.348983218137542,-14.584672558694129,-inf
0.003,3,4,0.7154722213745117,0.0604502747586635,0.0581911660586451,0.0557536353182914,0.0552674893904501,0.053469175460997,0.0521947135175567,0.0475657074859926,0.0471297382760954,0.045307025066268,0.043562021473645,0.0415456619349873,0.0377448593535262,0.0321023875390796,0.0278678553246292,0.0261661724932875,0.0227573271193766,0.020739520094521,0.0143022213915098,0.0116077262600725,0.0110508413354287,0.0054749343280927,0.0042323723666195,0.0020874519744392,-0.0027981983850934,-0.0054184869020395,-0.0057940045355589,-0.0059071827260518,-0.0069587278833035,-0.0071741681868899,-0.0074963292985127,-0.0078177164926522,-0.007941735465657,-0.0079981952688656,-0.0081492265368202,-0.0089867664639702,-0.0090321444063946,-0.0093369649455393,-0.0093586193395957,-0.0096866288400251,-0.0098227650505548,-0.0098534436733454,-0.0099734740308221,-0.0111702652613716,-0.012099139963347,-0.0123704984174894,-0.0128184503772949,-0.013398451176945,-0.0141880718868634,-0.0175199041989308,-0.0237067099580162,-0.0248299534524763,-0.0266142693904582,-0.0270550660385177,-0.0314134266460858,-0.0322716901904,-0.0331720423516468,-0.0350196381877078,-0.0380947278541976,-0.0398798855914343,-0.0421418789541429,-0.0490026118021724,-0.0541582702483457,-0.0578482645014733,-0.0645429245089437,-0.0694984939175879,-0.0712988703139085,-0.0761957376623599,-0.0774920085441957,-0.0859686481258556,-0.0910805132649554,-0.094065220382758,-0.0989035010000792,-0.1007865161151531,-0.1028620651455074,-0.1088795331407842,-0.1109124173241771,-0.1159164674167876,-0.1206001851977669,-0.1259129215494164,-0.1275939034022684,-0.1340458357919164,-0.141895304857866,-0.1440724288179382,-0.1513641749141301,-0.156759745935188,-0.1597056319280347,-0.1599889216589229,-0.1723119770839184,-0.1730821671090679,-0.1840846657211047,-0.187893321624866,-0.2008377895323674,-0.2065976572484938,-0.2158066355453751,-0.2169672510635202,-0.2266639156482748,-0.2300322336497088,-0.239348691427942,-0.2448584036587866,-0.2543137730507505,-0.2636747493366148,-0.274738635948841,-0.2774771317652775,-0.2943622842339807,-0.3018578958409513,-0.3174995254668268,-0.3346965783839982,-0.3423747311180199,-0.3688742682842539,-0.388222318146829,-0.4071657837666776,-0.4255451612080059,-0.45182971817001,-0.5060223268738151,-0.5544065111411841,-0.6231967541613861,-0.7263062712033524,-0.8688155958584365,-1.0853718853203136,-1.3167815396511802,-1.6439982622975715,-2.309144696028168,-3.2551666827799632,-4.619335362905432,-6.910706008895839,-10.158928504144352,-14.86859478398864,-inf
0.004,3,4,0.7274355888366699,0.0603239626805335,0.0570065608886635,0.0569682260224145,0.0567652537018709,0.0546020199262459,0.0503238000230511,0.0502312602733271,0.0494104802323493,0.0425205764626542,0.0424063050080349,0.0376979567179608,0.0356886870788557,0.0320883233978114,0.0296366941077033,0.0275969392472371,0.023924114048619,0.0196374085252887,0.0159114732253825,0.0153525447583528,0.0149955607009791,0.0101280626103143,0.0072656743983275,0.0040524383433071,0.0012423798002392,-0.001913804755057,-0.0043324595615419,-0.0046908900896602,-0.0058997353824686,-0.0062443183201514,-0.0069672993698839,-0.0071900694962111,-0.0078241878556795,-0.0078323676408422,-0.0081403896967945,-0.0081959881942874,-0.0082744703979403,-0.0087313515245242,-0.0087964595068364,-0.0089089105778124,-0.0092886789548962,-0.0094261221167465,-0.0097140643204199,-0.0098919746150478,-0.0110636538407423,-0.0113450119910489,-0.012371732474528,-0.01291459189664,-0.0139195790625739,-0.0169773831196598,-0.0237517344088315,-0.0259541749980377,-0.0271515154278892,-0.0276183179625395,-0.029673170316203,-0.0316147663926973,-0.0322695290238758,-0.0339629099960464,-0.0367166815994813,-0.0375757199447323,-0.0427929102614317,-0.0470687594300086,-0.047495096968235,-0.0491023121890181,-0.0571548308134938,-0.0628730407026476,-0.0645746776338645,-0.0699249120253325,-0.0711635624138556,-0.0792075832899547,-0.0822350830112671,-0.082914149107407,-0.0849434016114297,-0.0877674761728933,-0.0924515931672942,-0.1004860027194316,-0.1038124831050401,-0.1079691240855507,-0.1105681185099856,-0.1177597837751263,-0.120678095661673,-0.1272551774567361,-0.134353802983982,-0.1362178702260853,-0.1393854191953679,-0.1479284476597273,-0.1507913186796258,-0.1551018803094226,-0.1603130702151924,-0.1625829137911861,-0.1726358763168006,-0.1802168605951815,-0.1928688062936173,-0.1998323155216098,-0.2048232912573279,-0.2122974567661597,-0.225105536413208,-0.2278378745551508,-0.2355913770993157,-0.2412624423405993,-0.2462830391682407,-0.2544521541221694,-0.2651102732172953,-0.2729147663715693,-0.2808717029168019,-0.2944496653419483,-0.3088352923137334,-0.3250463578742551,-0.3382942319663635,-0.3522495493652475,-0.3668698384467849,-0.386840052678081,-0.4055067549182584,-0.4402525666292219,-0.4726326016014233,-0.5088003210411275,-0.595979388426524,-0.68942781348432,-0.816221066585426,-0.9893980507245992,-1.1910242376160434,-1.5484170012657683,-2.045170752799704,-2.8543207669670174,-4.313383882724894,-6.679369265633008,-10.01988752071855,-15.229551635687606,-inf
0.005,3,4,0.7180531024932861,0.0608342707196581,0.0582668519929686,0.0565985975448683,0.0554174555797004,0.0521559710302863,0.0511257192505073,0.0489549818876046,0.0480774727328572,0.0413184040992017,0.0411650310946209,0.0411512433402967,0.0342765692641077,0.032075764800588,0.0291298538889849,0.0224090248588081,0.021444735334233,0.0205623041650673,0.0176909297437339,0.0147048942081062,0.014048249280928,0.0119056764971495,0.0100752257458146,0.0075631828904306,0.0031007228551796,-0.0015116161788491,-0.0034830420406895,-0.0036080773393246,-0.0043058375047161,-0.0054500296160624,-0.0068173851481353,-0.0068825233812268,-0.0068855212790455,-0.0072503881786259,-0.0072566902924528,-0.0075440690969986,-0.0078226308260894,-0.0080316466606726,-0.0081089976087642,-0.0086010445280594,-0.0089482023936795,-0.0091028489576027,-0.0093053696460708,-0.0094586206243568,-0.0102768391678477,-0.0110068090429875,-0.0119461929166561,-0.0125852636862704,-0.0144245723358009,-0.0172167464538477,-0.0211128547162416,-0.0240004946648851,-0.025163464545693,-0.0281599752015106,-0.0308850561155611,-0.0324728177152379,-0.0326145800894977,-0.0349567236449818,-0.0357879122248228,-0.0371533387147492,-0.038873780203455,-0.0417942465817921,-0.046298777863614,-0.0464942059367386,-0.0518334873426434,-0.0594747340260653,-0.0609262187601519,-0.061903458386563,-0.0622803585917375,-0.0729611276557233,-0.0752041200202982,-0.0755071562536536,-0.0806258878592774,-0.0816780887350222,-0.084837462218453,-0.0947760608073626,-0.0983044274652527,-0.101463139212225,-0.1065631680742063,-0.1092416313295152,-0.1094788478081183,-0.1174993486154042,-0.1261863123660862,-0.1282305510841174,-0.1364981454457824,-0.1387316245978178,-0.1455974535930985,-0.1500026700581231,-0.1584714326468769,-0.1597049346747718,-0.1629086550556297,-0.1688489282179631,-0.1783926828175311,-0.1855904247102106,-0.1945809700271247,-0.1974142832524192,-0.2118268751638629,-0.2183868424322239,-0.2297547117284985,-0.2320253314272264,-0.2374793679246085,-0.244807817738438,-0.2553577378396386,-0.2599361694345142,-0.2723087635591673,-0.2845311913249826,-0.2971583675868371,-0.3042885386384248,-0.3225661612817717,-0.3428723213727231,-0.3566845796518009,-0.3780931463676431,-0.3939696097459689,-0.422155793151027,-0.453708068150473,-0.4933405636554935,-0.5529115211949056,-0.6503042619198474,-0.77951919798746,-0.9462018534749692,-1.139958732400389,-1.440330666408496,-1.9434639938965288,-2.835231517566305,-4.279314602900089,-6.5030954705736,-10.152567454997186,-15.385037955377582,-inf
0.006,3,4,0.7186667919158936,0.0577175200517486,0.056626495406875,0.0552730450567238,0.0551540130835354,0.0497140339958033,0.0492554453704285,0.0474922812108247,0.0465141305006896,0.0415715214206901,0.041267810538655,0.0378397798111964,0.0369664534887847,0.0329009072599803,0.0323144813574594,0.0276026209120705,0.026384514226948,0.0233735213735969,0.0191362582566511,0.0160658390039857,0.0152799951441662,0.0128287068601233,0.0100255167173051,0.0099652002543324,0.00548285746807,0.0010093868921125,-0.0035300138223435,-0.0038064012025971,-0.0038959951256414,-0.0049412756204145,-0.005577347671462,-0.0068517462544421,-0.0068677711893204,-0.0071154859800015,-0.0071564532924412,-0.0075168129854606,-0.0078596399993493,-0.0078801036120115,-0.0082587921252604,-0.0082742315942204,-0.0085072209053743,-0.0088919737345266,-0.0090499234269575,-0.009541156578687,-0.0099761405976722,-0.010937168695784,-0.0111386600401516,-0.0138326420313657,-0.0150309978515869,-0.0172519584483016,-0.0192241294557411,-0.0230159005705871,-0.0242660301972049,-0.0289845661485483,-0.0297740840248876,-0.0308156549098962,-0.0332107388600067,-0.0349681586287865,-0.0356367776193667,-0.0356525740995251,-0.0362759196276103,-0.0408095534215012,-0.0412175874708718,-0.0450500631070591,-0.0495434719019896,-0.0548175026439669,-0.0553813935324567,-0.0585206270236248,-0.0627112123897077,-0.0710598767574857,-0.0717505533608482,-0.0737794258181824,-0.0761261613818587,-0.078555195102068,-0.083863243800637,-0.089004058224544,-0.0896922488720437,-0.0932439719264656,-0.1011558574744678,-0.1053200005230522,-0.1077890681403445,-0.1120049372251432,-0.1199291411263961,-0.1208147778187192,-0.1272235970389169,-0.1361279825198209,-0.1374447052962104,-0.141170939656032,-0.1497005259453339,-0.1525751990553749,-0.1579964410000238,-0.1631225689287511,-0.1718821558546998,-0.1751492626106936,-0.1836432428285597,-0.1839111956201273,-0.1982174788851138,-0.2071125992181071,-0.2221500856800468,-0.2236850402314752,-0.2330147723040991,-0.2385878872319594,-0.2483880706744693,-0.2524883829747198,-0.2682020342607294,-0.2758302336525053,-0.2851903888439366,-0.2988715385845558,-0.3144432937157395,-0.3282185587730842,-0.3448229553760688,-0.3572255258078193,-0.3834445867029201,-0.4031380251732633,-0.4396576879644158,-0.4724100321539186,-0.5285514927261885,-0.6111305156912558,-0.7220146408732974,-0.8824408322440285,-1.0661018880006554,-1.3249908033074274,-1.793166861314733,-2.630843152609703,-4.221800528106891,-6.526560591906226,-10.261315870030046,-15.658458313366436,-inf
0.007,3,4,0.7199749946594238,0.0609465511320585,0.0600477281920894,0.0553119541298045,0.0552950814846957,0.0524694981066219,0.0517541736955919,0.0495954230980251,0.0476414863989689,0.0461957041816436,0.0433856483686624,0.0399395514831618,0.0391638030577343,0.0338451588412077,0.0299866551447821,0.0264538327419566,0.0232166372856038,0.0192123787874251,0.0153395716800323,0.0149441187937832,0.0128293894027678,0.0111728508287673,0.008777787017261,0.0060247603385937,0.0028679738055805,-0.0008416085662373,-0.0035314480199054,-0.0041791416747977,-0.0042104385362353,-0.0050942093456014,-0.0057408975593076,-0.0066321769354812,-0.0068480224780057,-0.007013681962256,-0.0071267738661312,-0.0072368083814721,-0.0072523725993246,-0.0076031687958535,-0.0083572594717882,-0.0089127213431713,-0.0089794943135137,-0.0091977640032774,-0.0093509162110776,-0.0096492301579954,-0.0107986855405212,-0.0109562812463905,-0.0117981711849466,-0.0130672636752816,-0.0133457644855945,-0.0167858853082859,-0.0214480561377893,-0.0224358261943873,-0.0234907311813507,-0.0289849454215162,-0.0292041296853198,-0.0320868543228601,-0.0338245643353672,-0.0342793203705094,-0.0353413885849146,-0.03582509302913,-0.0390519113856413,-0.0399532759035253,-0.0446129071084319,-0.0455084190175883,-0.0482919994013729,-0.053146020452165,-0.0565856815434919,-0.0590527584090095,-0.0599670367534466,-0.0668802730661571,-0.0707676370161998,-0.0719493011256334,-0.074259323737622,-0.0768694785487026,-0.0800651718014087,-0.0846446833269698,-0.0882544384983941,-0.0931493371874008,-0.0967210072914101,-0.0983324137717502,-0.0987292914634442,-0.1094650664911179,-0.1125103464377205,-0.114584098091259,-0.1222794755989829,-0.1304201536443906,-0.1344001091675204,-0.140034751783633,-0.1474243700071404,-0.1488551208852154,-0.1543923923637402,-0.1581992309860826,-0.1639160314801829,-0.1675088390986557,-0.1781190908730567,-0.1843048449161082,-0.1860095368509861,-0.1986417940080145,-0.2046292512264874,-0.2134523601784246,-0.2290467142415661,-0.2299537653704634,-0.2447173630323718,-0.2491340080951712,-0.2545583056750318,-0.2691317515422032,-0.2774431785234506,-0.2939052024911586,-0.3065594323620662,-0.3227048609790393,-0.3350932335202377,-0.3598070801923617,-0.3778049203149298,-0.3949180023425599,-0.4315322378458913,-0.4628872199216342,-0.5253625939771063,-0.6105648155652884,-0.705906119037864,-0.8448608870827294,-1.037505625991234,-1.3043198703638232,-1.7364667930545958,-2.5526026812048794,-3.969501310527151,-6.403518650122085,-10.024546151540584,-15.821948334884354,-inf
0.008,3,4,1.1792633533477783,0.057265984706841,0.0572566432808657,0.0549720592062369,0.0529296590295073,0.0522425296738174,0.0509181238027823,0.0497732210359967,0.0487714784557467,0.0412914615251044,0.0401247082800734,0.0387071539751956,0.0347132070424633,0.0311959508405675,0.0287856862404919,0.0256909403187026,0.0253462952228135,0.0218279205137521,0.013929068120158,0.013689533497789,0.0135182624349675,0.009893942555715,0.0092108614913393,0.0054479475481321,0.0047347418398211,0.0035118754473558,-4.64557335166324e-06,-0.0014345010540541,-0.0017033828557263,-0.0053643860451988,-0.006258826104156,-0.006420704865559,-0.0065278902869928,-0.0065545878072789,-0.0066808924594028,-0.0067977065160322,-0.0068555897640579,-0.0078886014452145,-0.0078928845041271,-0.0080366805898673,-0.0087675388400528,-0.00928448849964,-0.0093530211436438,-0.0097086662615689,-0.0100392763089343,-0.0102081475179258,-0.0103230671142765,-0.010944266530006,-0.0120219581261935,-0.0149344419279345,-0.0180634153383246,-0.0193975968336026,-0.0204088030715756,-0.0232325203744942,-0.024866277535584,-0.0297547346775927,-0.031044250951609,-0.0314737470149697,-0.0352093847439926,-0.035271409224502,-0.0366417240036518,-0.0372210991949147,-0.0398170748231729,-0.0418096852169149,-0.0452693440366101,-0.0516581690596365,-0.0521265999939767,-0.054437578107975,-0.0577761232970679,-0.0622365771074887,-0.0664996569703917,-0.067370617078897,-0.0699038436675697,-0.0716993615096771,-0.0747233381062291,-0.0802683509923949,-0.0823400368405604,-0.0873029178949656,-0.0922656661128438,-0.0935115855382249,-0.0984437968882647,-0.1051433526672443,-0.1106245811016928,-0.1155363921550424,-0.1190484940518175,-0.1250479678396012,-0.1299960337776531,-0.1316173322930272,-0.1430410575355419,-0.1439289417485476,-0.1508564245533635,-0.1560347051408838,-0.1602080303566398,-0.163681166274393,-0.1696973468658886,-0.1721753703591098,-0.1830893017368499,-0.1945823378729715,-0.199994867768576,-0.2130819918977091,-0.2160665205956708,-0.2286441849846762,-0.2440849558364735,-0.2488209395235721,-0.2574862078920144,-0.2684798915774205,-0.2825755700969242,-0.2891181421389741,-0.3045753709799394,-0.314823743133422,-0.334490033327295,-0.3524966550881877,-0.3734699514161281,-0.3951474361008064,-0.4410526892744957,-0.4626346192503746,-0.5328533938753294,-0.5860080730282954,-0.6874146327537092,-0.8467219104158835,-1.0258789018811636,-1.3326328080143497,-1.7475221142044657,-2.57473581327553,-4.008380891878874,-6.457729032580575,-10.23606509571126,-inf,-inf
0.009,3,4,1.1642191410064695,0.0573434994461158,0.0540284376341551,0.0527050617144597,0.0523987860570767,0.0495895951691892,0.0493923321657373,0.0468525038153822,0.0463905899621323,0.0423270083712197,0.0418895408090811,0.0395515320271411,0.0371231030983837,0.0316377490621246,0.0302642503470233,0.0255897554585525,0.0225550335087789,0.0215132108090577,0.0166776401169207,0.0163949472622934,0.0129261010593618,0.0103108548992816,0.0089759812885349,0.0077652548113205,0.003043771787887,0.002537910621236,0.0007960587650124,-0.0035060773543858,-0.00409731451479,-0.0054710822613277,-0.0065309214890754,-0.0065903119615059,-0.0072038350601589,-0.0073383275978174,-0.007539337877936,-0.0076987301591931,-0.0077473754550456,-0.0083718575839534,-0.0087200343399204,-0.0089751670735737,-0.0089884691167821,-0.0091903994630397,-0.0095110669809039,-0.0096694971153697,-0.0100564980307978,-0.0104798643286607,-0.0119958032319031,-0.0122534700641256,-0.0140506943304663,-0.0176045156199012,-0.0209397112679962,-0.0219250452470627,-0.0268772931352471,-0.0287643990118805,-0.0293207500696112,-0.031179265697527,-0.0332833678337204,-0.0360440033649122,-0.0361742719949776,-0.0377423623563595,-0.0384685701700745,-0.0435080447846781,-0.0438896038199484,-0.0466691070443495,-0.0477095904938729,-0.0511180501530186,-0.0533642149730486,-0.0555512480887477,-0.0573204134030908,-0.062079912898684,-0.0620917116130443,-0.0636055086951694,-0.067078706354901,-0.0686397298157087,-0.0713105798381898,-0.0781505294684341,-0.0813127693822984,-0.0828573607236225,-0.0870476700826657,-0.0883202802923328,-0.0933594633294482,-0.0979840624569413,-0.1041140637897692,-0.1067267496509995,-0.111528332642012,-0.1171634004521179,-0.1252792555904558,-0.1261342005872193,-0.1333130096778711,-0.1374090377346326,-0.1432715303373919,-0.1471774927642853,-0.1563275969108414,-0.1587308588279194,-0.1621287760066992,-0.1652390269041074,-0.1697932900171131,-0.1785851719006866,-0.1882732242588728,-0.1974300248414655,-0.2068799604483284,-0.2115253581840961,-0.2363801953675224,-0.2387595675956677,-0.2481633793896895,-0.2571527068489653,-0.2655729239361863,-0.2787201226491999,-0.2949544869701956,-0.3094517411590047,-0.3233551458752026,-0.3427662354848342,-0.3591834249169845,-0.3940830019669075,-0.4162898245665682,-0.4474907128348684,-0.4983271075649509,-0.5557858137105736,-0.6746241793556834,-0.7927327905868836,-1.0404024503867273,-1.3344819147442188,-1.7708763359395407,-2.590977133113157,-3.986694085348407,-6.30015110635689,-9.89063240926808,-inf,-inf
