g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128
0.0,3,4,0.7298007011413574,-0.100009672102487,-0.1006451764634337,-0.1006809825963608,-0.1007354259667906,-0.1010492529033414,-0.1010918411387754,-0.1011896079947721,-0.1011948871840983,-0.1012031764019182,-0.1012036207597446,-0.1012053609373162,-0.1012249819046242,-0.1012440733177605,-0.101325238327065,-0.1013697184308361,-0.1014224795555615,-0.1014347872219856,-0.1014469567524987,-0.101474147082848,-0.101502907504049,-0.1015090060818028,-0.1015133406512298,-0.1015335970547401,-0.1015522293960139,-0.1017029885282711,-0.1017513225175786,-0.101780259521301,-0.1018068897017424,-0.101809944074956,-0.1018364867190483,-0.1018521783144786,-0.1018543940962183,-0.1019084565323965,-0.1019210780695493,-0.1019770745708993,-0.1020272367587415,-0.1020703653120864,-0.1020854584494237,-0.1020975747164014,-0.1021102733082978,-0.1021895409751829,-0.1022076672052094,-0.1022175480974212,-0.1022904056788329,-0.1022963314500147,-0.1022990070383397,-0.1024216000380698,-0.1024236228534757,-0.1024292757217607,-0.1024445772694073,-0.102550271196892,-0.1025980502627888,-0.1026748392682899,-0.1027757521609541,-0.1028229225254222,-0.1028347575276766,-0.1031055289266183,-0.1031547370457019,-0.103245271778176,-0.103293320919657,-0.1033560606077527,-0.1042863796472481,-0.104433686213253,-0.1053537900630171,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,3,4,0.727564811706543,-0.0777741005992112,-0.0796731549861331,-0.0831019111688139,-0.0844319292189293,-0.0844956778038743,-0.0848672758068095,-0.0870652530182743,-0.0870815668340015,-0.0875838283742252,-0.0877070838492497,-0.0882519041470118,-0.0890995530846201,-0.0894178639021081,-0.089875821066844,-0.0909247157739348,-0.0911594216936105,-0.0921249483872669,-0.0933553257006908,-0.0936692601304254,-0.0940468031526697,-0.0940916450219159,-0.0948518084861686,-0.0949483355646494,-0.0960384413338741,-0.0960606885779103,-0.096890496247921,-0.0970817861896728,-0.0972352962242997,-0.0975925739550707,-0.0980028646406723,-0.0982775348037878,-0.0983296510716089,-0.0985009231020861,-0.0987441725083577,-0.0987961997608082,-0.099013135784811,-0.1008069657833832,-0.1017197747725069,-0.101864103610134,-0.1018732518036944,-0.1035248233922438,-0.1037834981667568,-0.1047253697199254,-0.1051103125959129,-0.106387511218075,-0.1074902366302098,-0.1081798103161794,-0.1084388708712785,-0.1084783892103948,-0.1109462528153932,-0.1112684652146509,-0.1119115931250951,-0.112979605160317,-0.1135197748164766,-0.114841144508081,-0.1148454701851314,-0.1158408559393783,-0.117254289934226,-0.1176000143171748,-0.1188171628753078,-0.1198515483242965,-0.1232360031186127,-0.1253890198356597,-0.1397800684155877,-0.1589279863164167,-0.1691355787349419,-0.1727261000496341,-0.1766017234518415,-0.1800606392651444,-0.1816753131205114,-0.1889597899656567,-0.1890510245180004,-0.1893730933620202,-0.1896364823014865,-0.1936671414396684,-0.1940106010426426,-0.195113508258241,-0.1970929510424726,-0.1989406311102897,-0.2012354524366562,-0.203322448547582,-0.2119472578517344,-0.2155803084582261,-0.2157765480459123,-0.2228694612430544,-0.2246608962177868,-0.2251080707007043,-0.2297287304440675,-0.2341426450744083,-0.2382753013922142,-0.2390791328926873,-0.2524649470799993,-0.2587487760069409,-0.2609613811554114,-0.2698816039512643,-0.2883544694234076,-0.3103279769245011,-0.3178190848473615,-0.3366738501042783,-0.3611610307335973,-0.3867504316817241,-0.405232891771471,-0.458437948262037,-0.493160818653767,-0.5666524350725085,-0.6645239964472303,-0.7306139665462148,-0.8117764713349128,-0.9017809246090936,-1.0676760479725973,-1.2657966138749102,-1.6794276324780075,-2.2353560633775564,-2.602806893933148,-3.01117658840755,-3.592357905500132,-4.666056880529927,-5.4610858919974845,-6.659640935689775,-7.714868251759072,-8.779485047056856,-10.406845909097722,-12.499167984717817,-14.903665991696254,-17.160947719362973,-19.434074932111457,-22.72005800801355,-inf
0.002,3,4,0.7349474430084229,-0.0752518755556398,-0.0792681506739822,-0.0800307502836838,-0.0813674598702589,-0.0822051531179859,-0.0827694462723543,-0.0835737221020986,-0.0850382213054925,-0.0859021039073995,-0.0861742834255009,-0.0890128631579649,-0.089569891542747,-0.09009873985468,-0.0903956574436025,-0.0917017198046266,-0.0920822712093777,-0.0929305918310822,-0.0932584037047329,-0.0938675112657435,-0.0954421806350949,-0.0958633282908752,-0.0971318412866551,-0.0977778537121647,-0.0985470691560585,-0.1001594493030738,-0.1007393776494499,-0.1023437465199732,-0.1030732116339987,-0.1041573513474459,-0.1042794655472237,-0.10525802002976,-0.1055891497252864,-0.1056291659279099,-0.1060324959273591,-0.1065144012507444,-0.1066729626956914,-0.1067113408142829,-0.1075898562068309,-0.1086828856185377,-0.1092535886570899,-0.1106929178804061,-0.1109374433007421,-0.112551580729568,-0.1165423348891109,-0.1199530023854215,-0.1204472895215154,-0.1209177428744848,-0.1249839313886784,-0.1258405005600138,-0.1262622352515347,-0.1263939459907332,-0.1273463688150906,-0.1274423637764844,-0.129209906439746,-0.1300539783709809,-0.1335170993415994,-0.1343038863139738,-0.1355394449186418,-0.1357707660097547,-0.1359079376021082,-0.1376688784016629,-0.1378048715471048,-0.1415243706415315,-0.1450257317157704,-0.1462318936869848,-0.1486023677150792,-0.1486106120950716,-0.1541361326874694,-0.1552526125379624,-0.1555552838384456,-0.1561956243520323,-0.1577073550785872,-0.1586726699026908,-0.1707486847998282,-0.1755202477831416,-0.1756200693554571,-0.1757105668824806,-0.1759898455454233,-0.1879907777351272,-0.1929780526230887,-0.1961516945603549,-0.1973833205828306,-0.1977752189041066,-0.2037784673686771,-0.2093681141219386,-0.214834273295545,-0.2171877179601964,-0.2317724133374568,-0.2320973542854889,-0.2436285603635409,-0.2555695054048403,-0.2863676252499939,-0.2883634293150081,-0.3128418776272547,-0.338202887548899,-0.3504935628501794,-0.3947559345313028,-0.4228698657341776,-0.4328996696495628,-0.4710332611893045,-0.4759971232328567,-0.5227923271571553,-0.5534724975026467,-0.6290139420732165,-0.7229500393764814,-0.7375896682876959,-0.8193248687596637,-0.9069449187877606,-0.9286901277858952,-1.0973780252491776,-1.1625990665238015,-1.2102299020553713,-1.6478954849669956,-1.934955170398215,-2.24218380062943,-2.686520782721669,-3.042470162767006,-3.6055211427239175,-4.506499229221201,-5.640042202942834,-7.769131142430408,-10.312704359393646,-12.40541330509488,-13.63128997699842,-16.36153006004713,-20.65709916063251,-23.996405059315443,-inf
0.003,3,4,0.7302126884460449,-0.0662255754348934,-0.071548043448532,-0.072040512071617,-0.0724522950107358,-0.0735667148580346,-0.0740617610474219,-0.075776072795272,-0.0795936891393601,-0.0799354230607262,-0.0815249557647645,-0.0819274025662025,-0.0824010092647785,-0.0825969482145337,-0.0837075950515132,-0.0846959942378184,-0.0847912522742859,-0.0853285952288087,-0.0858284380630515,-0.0879760316702779,-0.0889777194695393,-0.0911194199313104,-0.0912430519775097,-0.091288253489642,-0.0916556865964683,-0.0923116059369585,-0.0933353871443082,-0.0952100357982313,-0.098015672085802,-0.0985667702186074,-0.0986367331156603,-0.0998126250962004,-0.0998815768860842,-0.1000376350286995,-0.1001953609801133,-0.1008223611042278,-0.1021356550825331,-0.1028125322181565,-0.1032669291869352,-0.1035076642500041,-0.104130596151694,-0.104418959715855,-0.1049996840317916,-0.1069255418643352,-0.1073147876430807,-0.1088228553283002,-0.1093385659492468,-0.109613726016054,-0.1097953656138322,-0.1098111479081596,-0.111216895566158,-0.1112579248228746,-0.1129217584382203,-0.1135574262993009,-0.1149083311512049,-0.1158097385809816,-0.1162143883112201,-0.11648485551959,-0.1177058734068458,-0.117865618490235,-0.1194656256848678,-0.1205446894664816,-0.1218589697835344,-0.1230669530715449,-0.1294733941375365,-0.1297631361013197,-0.1299194636861764,-0.1313002133589611,-0.1328304386818053,-0.132893298435848,-0.1345990056322182,-0.1375771577515952,-0.1392380177792678,-0.1402219318475227,-0.1448634403643192,-0.148009448906941,-0.1508716821722266,-0.1529488482994185,-0.1534481264450821,-0.1545906269562443,-0.1548115799976616,-0.1571682378743328,-0.157524912466842,-0.1578457880902228,-0.1592491137631976,-0.162412366701678,-0.172307756113253,-0.1746024138407912,-0.1752505982245601,-0.1756770818807774,-0.2013833019930338,-0.2032441596152744,-0.2102819596604796,-0.2118839561029155,-0.2296859785563329,-0.2323736789589343,-0.2359620688169924,-0.2389311666029824,-0.2440556487679002,-0.2510922869106421,-0.313253057268765,-0.3154201000407441,-0.3429170929890452,-0.3725865075888727,-0.3910402159150937,-0.4974587382496068,-0.5147224179557579,-0.6011218193495877,-0.7595435421727724,-0.8419669137261258,-0.874708572442932,-0.8872071922501761,-1.0306063332051978,-1.4979527309441054,-1.5167297861168163,-1.9071849753738197,-2.249385938491528,-2.621183431162765,-3.694138561700784,-3.8291439532707385,-4.68841737610618,-7.374883759004654,-10.738813569143046,-11.885599854850062,-15.167862912827204,-18.839510178906604,-21.688474683501063,-25.82891189229991,-inf
0.004,3,4,0.7345921993255615,-0.0523817229167855,-0.0575568991581052,-0.0615312244549141,-0.0662594918006289,-0.0673828568930568,-0.0675608509902128,-0.0713509160784598,-0.0718783404056093,-0.0722363312361926,-0.0734955430929872,-0.0754751304759048,-0.0761990409898001,-0.0772787910894678,-0.0777973904467927,-0.079680876825287,-0.0816137820136629,-0.0816851280384641,-0.081960824345858,-0.0832709140366675,-0.0838712485685204,-0.0868801229618098,-0.0882292196699722,-0.0883232335794944,-0.0886379085681563,-0.0889089810990152,-0.0896118818404358,-0.0908471614537795,-0.093745485531625,-0.0945152076106172,-0.0948870531646515,-0.0951067509239096,-0.0951070920635807,-0.0954590624104193,-0.0956634478303523,-0.0974145527030671,-0.0974761234190633,-0.0985908593156679,-0.0989190141302252,-0.0992174564245442,-0.1005322560703782,-0.1008846663488174,-0.1022234549147834,-0.102837817068343,-0.1033285060771314,-0.1039797950671771,-0.1050634500515877,-0.1065464318006162,-0.1067004098890743,-0.1068821881516152,-0.1073521501563034,-0.1080694251144333,-0.1085722441698949,-0.109192275341263,-0.1105775846844721,-0.1112128470018342,-0.1142239260453718,-0.1147165292461303,-0.1157943401627619,-0.1174774851962907,-0.1202073097894413,-0.1222163198746473,-0.1263345864529474,-0.1280936717991526,-0.1303176519674359,-0.1307365705496891,-0.1320986023657754,-0.1344101696222207,-0.1354704109230514,-0.1358800387200339,-0.1360973589931062,-0.1373998011689306,-0.1400905540005155,-0.1406868203292888,-0.1438366664521385,-0.1451317020973743,-0.1451671939811037,-0.1490442370750875,-0.1498552927180042,-0.1499678830180522,-0.1559907099963119,-0.1563428213246068,-0.1597703733874889,-0.1642279583253276,-0.1649479252627981,-0.1744683741205368,-0.1786293496384554,-0.178888404105132,-0.1810244382764702,-0.1912289506792113,-0.1933156811267691,-0.2202939133034161,-0.2512808335646829,-0.2646628327776656,-0.298203167948994,-0.3132971665708007,-0.3222880085955881,-0.3511073446514435,-0.3945653596112894,-0.4068314443043916,-0.4293360187845731,-0.440799662429109,-0.5034621713346362,-0.5694254071013919,-0.6136028164696518,-0.7208373096675851,-0.7312916107542373,-0.7903842007582017,-0.8205313757630993,-0.9184495744637416,-1.048095756887904,-1.163055800117222,-1.3715638073977243,-1.506365412843656,-1.6457119814736934,-1.80289336808786,-2.007289084792126,-2.215405506777849,-2.9139930200063917,-4.022175936154142,-6.6317280339794005,-7.6014131219132866,-9.000929680189097,-11.148921410971854,-14.7855520985549,-17.491922814339325,-21.0037848388732,-26.6432472465102,-inf
0.005,3,4,0.7295935153961182,-0.0382557276135888,-0.0494302845906197,-0.0559681334267871,-0.0579561147667414,-0.059724430286497,-0.0612966872810305,-0.0637329333168398,-0.0640653078848317,-0.0655684356603206,-0.0664878593982759,-0.0718252970124636,-0.0724535832000794,-0.0725106291915197,-0.0729753497387534,-0.0742936636271338,-0.0753279100162392,-0.0759520452287547,-0.0760600605519257,-0.0772528193515164,-0.0776300771818669,-0.0789116327317246,-0.0790670575163683,-0.0798249585695814,-0.0803141999901425,-0.0808125252556559,-0.0820466957564896,-0.0835665268371749,-0.0842914383323338,-0.0861181837513155,-0.0863666199574949,-0.0863685550854641,-0.0867136743311457,-0.0874371293918886,-0.0875184354376098,-0.0878704846249512,-0.0880355360090089,-0.0901517800331793,-0.0901682405936144,-0.0907972958509126,-0.093878410672552,-0.0940811946018312,-0.0945578247652757,-0.0975331086620504,-0.0982405035014115,-0.1003123212474416,-0.10073635270797,-0.1026008539467883,-0.1029751757384732,-0.1033784760643382,-0.105332686442369,-0.1057662154787793,-0.1080000915760648,-0.1083679050868115,-0.1115027480192992,-0.1120947493660296,-0.1133930489198667,-0.1137077115326961,-0.1142525051709669,-0.1142655572591426,-0.1143476825797242,-0.1160236858852229,-0.1163328980032813,-0.1191410383841552,-0.1205856292773703,-0.1206317000739152,-0.1226194194112177,-0.1227155187360994,-0.1227943200054922,-0.1250733652692524,-0.1265873122139886,-0.127497109770783,-0.1277233401743805,-0.1292469029662462,-0.1297012760825908,-0.1331396795613989,-0.1333252771389333,-0.1373571707668918,-0.1386497707842003,-0.1420360681935136,-0.1453839426501198,-0.1455644976758378,-0.1478008661334096,-0.1550851234034978,-0.1581426099048533,-0.1614704657627748,-0.1667287739079613,-0.1674725365310384,-0.1689451874511177,-0.1729646912302833,-0.1937511022320817,-0.1958201344555323,-0.2954444396202028,-0.306770139648512,-0.3205477219309188,-0.3512676898126299,-0.3914379025669235,-0.3922377124933434,-0.4169350157122108,-0.4523992169768722,-0.4734216188812673,-0.5081790082739225,-0.5433020490437295,-0.5992303385776436,-0.6282163793160404,-0.6815607432534522,-0.7636129058664788,-0.8059485700331589,-0.8833514794506906,-0.9489513927398252,-1.0123216876034948,-1.080626014527275,-1.140861005009707,-1.3166029007134603,-1.4640259467240833,-1.590557470685159,-1.8314723641327504,-2.273018099204291,-2.9732962812768617,-3.671295582171733,-4.432272709387128,-6.863990901967612,-10.130619687761456,-12.223601548045034,-15.646953368336554,-19.19190890346732,-22.148757367447377,-24.944742167665733,-inf
0.006,3,4,0.7416167259216309,-0.0456445825902407,-0.0474446974943316,-0.0476056890219005,-0.0503133134877111,-0.0518487753254268,-0.0526737512503724,-0.057928482894518,-0.0584952142528994,-0.0593540586006054,-0.0599197080707226,-0.0634829863072597,-0.0640791465917697,-0.0641622217061541,-0.0649611894401461,-0.0671573284140134,-0.0681129953353576,-0.0683676733170537,-0.0684243197487279,-0.0685418036438522,-0.0694547324177901,-0.0695841269655999,-0.0699294330001452,-0.0700200070890801,-0.0710493993744389,-0.0711302040440866,-0.0712508951455924,-0.0716778834650414,-0.0725855324682092,-0.0734907594064734,-0.0736759660066027,-0.0738903215978547,-0.0742422468369142,-0.0750902522389121,-0.0754119895355781,-0.0758050372660977,-0.076029432396275,-0.0782888179103801,-0.0794336298773873,-0.0800644558720128,-0.080087244919787,-0.0815122349178635,-0.0819087577100192,-0.0834988532209668,-0.0840657729471843,-0.0851806968706285,-0.0863098531133443,-0.0875015977441045,-0.0877510073561261,-0.0887581757444218,-0.0888134586388652,-0.0899126273391785,-0.090444602123631,-0.0922610563223956,-0.0927922712390302,-0.0940666313934019,-0.0943531352996484,-0.0951468611455148,-0.0952645671548845,-0.095299768472041,-0.0953345408618181,-0.0956043452042611,-0.0969299164473955,-0.0974055880301011,-0.0974100242032946,-0.0988750518815,-0.0996731783943633,-0.1001235630801308,-0.1033569806974218,-0.1040667485787363,-0.1055722237914065,-0.1064046051444399,-0.1064402901438709,-0.1080347905753329,-0.108907510538731,-0.1089508252868909,-0.1116408078121686,-0.1139415924341873,-0.1155655984983912,-0.116210710520185,-0.1169983042207875,-0.1196183557204295,-0.1197876144298396,-0.1214887240297834,-0.1235454176998002,-0.1258168676054391,-0.1321443743745678,-0.1344892933741716,-0.1345830706822746,-0.1358563606303233,-0.1364329739227494,-0.1386898184194392,-0.1468409659239446,-0.1494415746504817,-0.1528363070183766,-0.1589637785818764,-0.1624810260589984,-0.1638876698331098,-0.1687712869072072,-0.1826369906125043,-0.2118320142964954,-0.2197601831353793,-0.2437823519136148,-0.2950716163781829,-0.3102474629366982,-0.3440808979982918,-0.4337669275553574,-0.4532149733301966,-0.5897695359700881,-0.7237628653176781,-0.810015376978084,-0.9332132795121248,-1.0680747004238205,-1.3024784142707344,-1.5875043213992357,-1.8911487389681547,-2.2124932703229736,-2.5690908938154595,-2.9737739624687536,-3.651115196184544,-4.655537989647099,-6.8902076777749,-9.415563905703577,-11.921684806089708,-15.530021974704663,-19.85882602329575,-22.279149903999507,-26.158992877017237,-inf
0.007,3,4,0.74123215675354,-0.0353169777376158,-0.0411283361712471,-0.0425894910732318,-0.043272665480646,-0.0435393085099091,-0.0444684840702856,-0.048612597085163,-0.0492896572756588,-0.0508700176268029,-0.051660010019328,-0.0536100368463162,-0.054669715167901,-0.0552525784722636,-0.0562690808282761,-0.0587927618336239,-0.058898148151082,-0.0595519130470286,-0.0608931017377266,-0.0611895109861926,-0.0626944053420751,-0.0635617865126247,-0.0647348009324385,-0.0655239221981825,-0.0660004762588798,-0.0662123851355738,-0.0663989830608467,-0.0695816931432525,-0.0701658943614327,-0.071481716481184,-0.0726373615391599,-0.0729478152881671,-0.0735270946086404,-0.0738862194700298,-0.0742361184069466,-0.0744356881914883,-0.0744654351966866,-0.0764085885559799,-0.0771694975212875,-0.0779829039743948,-0.0787461030549136,-0.0801958892720114,-0.0807394810984397,-0.0815977090319506,-0.082959438289689,-0.083772650074375,-0.0851827176034548,-0.0870910886207659,-0.0879475931687484,-0.0885447894589575,-0.0894215061941109,-0.0898013863727917,-0.0902918869225246,-0.0918494522480832,-0.0931877970175822,-0.0946466396515127,-0.0948481333751407,-0.0958318555528316,-0.0972853337624553,-0.097541175148618,-0.0987493334725115,-0.0995894940491082,-0.1004497648013177,-0.1020181676443316,-0.1029418791410163,-0.1037740915472102,-0.1039387214292647,-0.1047773719201761,-0.106710705154127,-0.1068911598626086,-0.1085188668139926,-0.1085639469671155,-0.111778344332187,-0.1126632724270782,-0.1159889036235739,-0.1169042398373065,-0.1182764720196613,-0.1183974366423399,-0.1197512201125852,-0.1204171479097046,-0.126782710834664,-0.1275121136553567,-0.1301215194738028,-0.1317519620283239,-0.1334178758922207,-0.1405495181144819,-0.1455936136179863,-0.1478670238999908,-0.1534349085424372,-0.1590554940991811,-0.1708619081412633,-0.174954838496266,-0.1922514444995872,-0.1954163824477057,-0.2092894366145101,-0.2356436979203018,-0.2600068500214483,-0.2751721324714151,-0.2955867090007371,-0.3160117806199453,-0.3444153423471614,-0.3679942532431711,-0.3979953001362171,-0.4386248961623649,-0.4669170535079813,-0.5018116409507021,-0.5424331417863315,-0.6143473795702928,-0.6726859072490645,-0.7588356374736522,-0.8403358222097166,-0.946113882560268,-1.0552737400661705,-1.1975669133526414,-1.2946546886678407,-1.5069277688205822,-1.813844007190927,-2.182472762982205,-2.8800283552425645,-3.652351734263179,-4.840753146308006,-6.734413491715256,-9.183455656002732,-12.281123638628925,-15.937180411553191,-19.148662022638952,-23.02069873215136,-27.455353093411127,-inf
0.008,3,4,1.1626439094543457,-0.0314480006189673,-0.0319372802180616,-0.0325107359163752,-0.0350615849947706,-0.0351289097634888,-0.0360981671084605,-0.0383138364954177,-0.0402952225032666,-0.0413323958828973,-0.0429879612674417,-0.0437762977863184,-0.0449793331562497,-0.0463177366674521,-0.0476267049694682,-0.0490374064287155,-0.0497408914723612,-0.0507766221524719,-0.0521253687376808,-0.0522411179610452,-0.0528897007146557,-0.0551398949339193,-0.0565046355185974,-0.0567098451416868,-0.0574174223645081,-0.0575733212288753,-0.0579402190293083,-0.0587235535541209,-0.0606034369626824,-0.0615160204897106,-0.0627175025343001,-0.0629255705120123,-0.0634635835771199,-0.0640781270099704,-0.0649146931041871,-0.0653170673971524,-0.0659014112180402,-0.0660980713301689,-0.0677219809137289,-0.0684536561593518,-0.0687996449176426,-0.0691592625127752,-0.0703287193058591,-0.0712369504792295,-0.071806603534986,-0.0724155941061379,-0.0747786551111729,-0.0750006193723496,-0.0759019906187723,-0.0765095883001459,-0.0777208170585261,-0.0779082627051585,-0.0779280480415071,-0.0806057980773578,-0.0808016677968619,-0.0822253728037264,-0.084206124676537,-0.0842953603574155,-0.0850025898211011,-0.0856174176867534,-0.0870848265167436,-0.088871780795296,-0.0889775774984435,-0.0917545825035486,-0.0947403434610902,-0.0947701454763804,-0.0961006964694094,-0.098412475488193,-0.0999526218154927,-0.1007202526079545,-0.1014903650503832,-0.102606085210361,-0.1063217142872906,-0.1072716461121763,-0.1109497582298948,-0.1111681229358683,-0.112850985508004,-0.1129795099941547,-0.1148012694405948,-0.117091785998712,-0.1206717019469499,-0.1228750069814021,-0.1246386105928869,-0.1287434428824609,-0.1289845699264851,-0.1352410167461187,-0.142546456730913,-0.1458934441880164,-0.1512265693124656,-0.1598454638839682,-0.1614986309972333,-0.1712905590553123,-0.1889080436611317,-0.1928637236886318,-0.2071838133266397,-0.2221340504862419,-0.2376951239585938,-0.2500804986897574,-0.2754372834421134,-0.2830632175271489,-0.3176193999018867,-0.3403663698927769,-0.3676213767259753,-0.4055673795138609,-0.4382599913031839,-0.4878199616429775,-0.5266203157933684,-0.587829710677238,-0.6435746995911094,-0.7233450721400578,-0.8050982746119073,-0.8839000214466315,-0.9815986755360232,-1.1104506394812983,-1.3426576087104496,-1.6104601791601731,-1.971847614012868,-2.3884211114679053,-3.0606430967963543,-4.0550096465404994,-5.521821464734247,-7.3167677642548306,-9.579647141655052,-12.461441952879804,-16.05027565675138,-19.870379875254567,-24.05587019145939,-27.803559361475298,-inf
0.009,3,4,1.144279718399048,-0.0299992478404176,-0.0304246059999573,-0.0315842955064522,-0.0319386735005398,-0.032087662760929,-0.0350384628660791,-0.0357103281487285,-0.0362700932365844,-0.0365037662550246,-0.0379636331992538,-0.0385146222206518,-0.0386591629913599,-0.0401664233003812,-0.040774951700695,-0.0422892897418626,-0.042859038107356,-0.0434882863754966,-0.0436508176918781,-0.0446170464637078,-0.0449142734968575,-0.0463918382530538,-0.0465397279880923,-0.046648384801922,-0.0470140854984063,-0.0483553442625372,-0.0484042273897429,-0.050486821015513,-0.0510310813989489,-0.0517387436545869,-0.0520831644217615,-0.0524290653457816,-0.0528447788419944,-0.0528649885625861,-0.053092930904747,-0.0535275453262021,-0.0540105486132641,-0.0545263611586323,-0.0547200656592733,-0.055215364265257,-0.0563486938353074,-0.0567458363986935,-0.0573203102456715,-0.0583587459669408,-0.0593687795711644,-0.0647712406098741,-0.0650768081873332,-0.0676325425124265,-0.0687223207984535,-0.0688199180407403,-0.0713304687774069,-0.0719110572881021,-0.0738874814906981,-0.07590799114132,-0.0766342778969236,-0.0781150355144107,-0.0781586411151104,-0.0795355113299717,-0.08000201075413,-0.0821789615144232,-0.0828274967248283,-0.0853330672965937,-0.0858417061669845,-0.0861366947818261,-0.0880435348596104,-0.0882603432859401,-0.0888615518672552,-0.0906239820962358,-0.0917568210716289,-0.0925634001655826,-0.0932266724379228,-0.0990401082771035,-0.1227538992922607,-0.1244990067629054,-0.1350335504035349,-0.1493321895265927,-0.1553951795191204,-0.1591763607745915,-0.1627179546383495,-0.1664795664343694,-0.1760205142832291,-0.1768560157085476,-0.1795176760715122,-0.1880929045325775,-0.192915005798446,-0.2025454168318079,-0.2130201540713792,-0.2182518795012167,-0.2251345529544423,-0.2309407140719857,-0.2429328608062634,-0.2877534203818717,-0.3169642255858815,-0.3299480635521034,-0.3621005455784287,-0.389084107671988,-0.3935750240467947,-0.4261384501490441,-0.4354782851740553,-0.4632802179801499,-0.474863377629537,-0.5005209681754159,-0.5562562448892755,-0.5848962746602099,-0.6046202384380119,-0.6522416639474556,-0.6856969646857765,-0.7684805364193493,-0.8527539195988701,-0.9016759277226212,-0.9769831335931812,-1.0482249907855905,-1.1545660680093843,-1.2107380757822617,-1.3916412604502677,-1.6791841013462132,-2.1396975405189496,-2.746766669067988,-3.523955956038821,-4.298659172858105,-5.697708728531127,-7.490245267521413,-9.881095397614496,-12.945663579834813,-17.13850377226684,-21.15526255692628,-23.96273595901253,-26.87583271391065,-inf
