g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56,lambda_57,lambda_58,lambda_59,lambda_60,lambda_61,lambda_62,lambda_63,lambda_64,lambda_65,lambda_66,lambda_67,lambda_68,lambda_69,lambda_70,lambda_71,lambda_72,lambda_73,lambda_74,lambda_75,lambda_76,lambda_77,lambda_78,lambda_79,lambda_80,lambda_81,lambda_82,lambda_83,lambda_84,lambda_85,lambda_86,lambda_87,lambda_88,lambda_89,lambda_90,lambda_91,lambda_92,lambda_93,lambda_94,lambda_95,lambda_96,lambda_97,lambda_98,lambda_99,lambda_100,lambda_101,lambda_102,lambda_103,lambda_104,lambda_105,lambda_106,lambda_107,lambda_108,lambda_109,lambda_110,lambda_111,lambda_112,lambda_113,lambda_114,lambda_115,lambda_116,lambda_117,lambda_118,lambda_119,lambda_120,lambda_121,lambda_122,lambda_123,lambda_124,lambda_125,lambda_126,lambda_127,lambda_128
0.0,3,4,0.7239170074462891,0.0682756699479659,0.0661432082124864,0.0651004449527282,0.0524170998838338,0.051601489308195,0.0477729706548154,0.0431455488764933,0.0175155828239476,0.016716956968376,0.0162822365106032,0.0155914375032873,0.0135560498938629,0.0127713185552146,0.0117455128953506,0.0112001584996103,0.0094211978642099,0.0087935168484572,0.0079591496945725,0.0075473426965447,0.0067145460355467,0.0058473604514596,0.0023193618780867,-0.0011495818147328,-0.003938702907636,-0.004340551018921,-0.0044106965379683,-0.0049633846804276,-0.0056039420947224,-0.0059367521888487,-0.0060935687547742,-0.006112013167648,-0.0065004947078173,-0.007043282209747,-0.0071969991296511,-0.0073176465926608,-0.0073227949922291,-0.0074282969123348,-0.0077465444142795,-0.0078425617548097,-0.0078553827014744,-0.0080448592799969,-0.0086116857262703,-0.0089742664662089,-0.0098971753137533,-0.0122089834091555,-0.01339620292297,-0.0142532133118419,-0.0145527335615699,-0.0164573105723464,-0.0302340420847682,-0.0498990486370133,-0.0500479065018683,-0.0648666170901724,-0.0934627105254739,-0.1187299894188888,-0.1385757600483504,-0.1391733258150128,-0.145431613408091,-0.1968543268706834,-0.2010710052668659,-0.2272815435212876,-0.2670471232827635,-0.282886901295184,-0.2866602058163693,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0.001,3,4,0.7251861095428467,0.0655241371631373,0.0620835754853096,0.0590279312149212,0.0574488243559787,0.0516416683815218,0.0430608595594833,0.0360183047533573,0.0232751651578437,0.020836542785912,0.0161924858509275,0.0132293751543637,0.0131893836174597,0.0129115827786987,0.0122481459158019,0.0120679627513532,0.0102807327749918,0.0101451084185616,0.0094088230460568,0.006730702519701,0.0045376348629662,0.0038995112217247,0.0032065458841351,0.0031576492334759,0.0027666141115302,0.0016045644819756,0.0014142806221316,-0.0018123694255166,-0.0027014678192341,-0.0049898387460145,-0.0059977876246169,-0.0060460690121132,-0.0061670296993925,-0.0062559793116565,-0.0063305019113221,-0.0077266728208348,-0.0077437902434782,-0.007829731755506,-0.0079430019275165,-0.0088332551600936,-0.0089054843633682,-0.0096023403012329,-0.010757104089201,-0.0110290413699561,-0.0115317145682897,-0.0122250669779475,-0.0135962458938632,-0.0142741261175381,-0.014378590914745,-0.0155888175207869,-0.0161862013858759,-0.0190802942850656,-0.0344086420174355,-0.037638243973072,-0.0474888248445648,-0.04808118127202,-0.0546241314874526,-0.0554287508278818,-0.0608671294538254,-0.0658617825451357,-0.0690243730104346,-0.0702704367297416,-0.0741621929841199,-0.0764610571928254,-0.0788903549865624,-0.0799550332305199,-0.0810582643158069,-0.0863895033781479,-0.0870546052004181,-0.0886396989007739,-0.0893490661934963,-0.0929360335921231,-0.0966412235379124,-0.0971650830324813,-0.0997359706006152,-0.1042310534070038,-0.1112414019821796,-0.1171431780702379,-0.1194155309109687,-0.1267134739729936,-0.1368194243124504,-0.1398566135783225,-0.1465531960507215,-0.1515475245064921,-0.1634653707734221,-0.169755474198973,-0.175337666482652,-0.1846488298999777,-0.1893013322471468,-0.1970013264575272,-0.204263970804072,-0.2070555100261332,-0.2224485409121384,-0.2258626932815651,-0.2272750027199627,-0.2361555187595166,-0.2418854448732779,-0.2454780863827099,-0.2528154378814838,-0.260370817672713,-0.2611059076070839,-0.2668236288863244,-0.2739282954077876,-0.2802127395938779,-0.2890666210203398,-0.2914348803550391,-0.2993120555277502,-0.2996585083952728,-0.3099237396577085,-0.32300209750951,-0.3438733210222761,-0.3587157399153306,-0.3835236660982786,-0.427502034362895,-0.4691657928890251,-0.5300770252067575,-0.6192016896185859,-0.6835441273256508,-0.8288437093419301,-1.0187584583631395,-1.3681733292186968,-1.728566293791526,-2.40846263837496,-3.572947577447228,-5.164292056073871,-7.685554437837427,-10.885494615350414,-15.310802617444043,-inf
0.002,3,4,0.7316591739654541,0.0658824215226681,0.0658126434483726,0.0575515906235387,0.0569494937275683,0.0524379630844692,0.0469688270616799,0.0297901985575423,0.0248174637010847,0.0197498986621932,0.0194053717220071,0.0180687645588843,0.0145925158530082,0.013678445997648,0.0127818435000006,0.012585092292955,0.0124990164649158,0.0102111036444303,0.0101675306760743,0.0059983007382748,0.0059212663129701,0.0052457060553051,0.004648965999397,0.0038364313296425,0.0034157619844336,-0.0007097583269032,-0.0015427127165086,-0.0034096641982872,-0.0037306344687405,-0.0059722163510842,-0.0060468156567092,-0.0063238031509105,-0.0066523863165753,-0.0068147446544255,-0.0070044967211982,-0.0074554700148371,-0.0078133778600971,-0.0091341681246056,-0.0092992520268409,-0.0093618925080592,-0.0094215105396923,-0.0096127277828837,-0.0104377290409754,-0.0113156813698534,-0.0130397486706424,-0.0137059554883515,-0.0141481673744389,-0.0146871048768914,-0.0162172557736929,-0.0165962924789201,-0.0178455295205554,-0.0268904007949507,-0.0369998654232029,-0.0438562213211335,-0.0556022670305246,-0.0570388835800994,-0.0582830057950657,-0.0585360268655294,-0.0592190642406961,-0.0641612626270881,-0.0648569214642444,-0.0690817034611928,-0.0746452664771011,-0.075354403274476,-0.0774151377374035,-0.0795323691387735,-0.0797533745313118,-0.0836217256159509,-0.0873145179205544,-0.087544586699538,-0.0905434864686894,-0.0929833596019712,-0.0958173384569917,-0.097673374555551,-0.1001883694587707,-0.1009799839396016,-0.1111959314660253,-0.1123513714878101,-0.1172479582409743,-0.1260843745124542,-0.1330968676934968,-0.1354928220418264,-0.14155715020544,-0.1431329151893021,-0.1485634384131599,-0.156425244565133,-0.1591849558034257,-0.1601365555945477,-0.1714080028658018,-0.1727178062141497,-0.1800261272832856,-0.1854206154065712,-0.1939259543867656,-0.1941899386584039,-0.1974885903421869,-0.2144954478735563,-0.2236590359455362,-0.2278097592997065,-0.2344902632529001,-0.2345893711549034,-0.241697664678946,-0.245817469766201,-0.251074292099293,-0.2622334039599043,-0.2679247517838752,-0.2729216373247328,-0.282171829713466,-0.2843700377737593,-0.29269726898945,-0.2955441051415722,-0.3127001293766602,-0.3290140901050946,-0.3375347186413099,-0.3677691409831379,-0.4064945434668386,-0.4504318718511592,-0.5209536984310063,-0.5903196689844434,-0.7159887035934127,-0.8530832592654264,-1.070616644509501,-1.3797597671505055,-1.9401553008547388,-2.836318362246041,-4.18350683914846,-6.284292842001964,-9.4026364166814,-13.764662275939306,-inf
0.003,3,4,0.7214546203613281,0.0630643819986395,0.0627563315184213,0.0570046164592922,0.056328984448127,0.0513661203996715,0.0417622238757594,0.0340682718262749,0.0279330979527826,0.0218607517513493,0.0204390123186659,0.0190045664000667,0.0185568624796373,0.0171268746912214,0.0171079178505885,0.0152437654713314,0.0146796513194625,0.0125679897793724,0.0116471231421545,0.0077589781814739,0.0072411990871337,0.0070780183132632,0.0067397874961545,0.005990004289557,0.0053603646164109,0.0036434894180217,0.0031630090290304,-0.0025100419510302,-0.0026449330343578,-0.0041518803521577,-0.0063029997091844,-0.0065852772012992,-0.0068351662922639,-0.0069930814152398,-0.0075072864986528,-0.0075797245584961,-0.0078082604934376,-0.0081033972278795,-0.008726749838638,-0.0089181632138802,-0.0089650287534788,-0.0089756425128291,-0.009901750334743,-0.0108892221080965,-0.0111524548183848,-0.0115563468600196,-0.0143942099408136,-0.0144685209669624,-0.0152747234287245,-0.0159484272654115,-0.0173828524574267,-0.0262063565753677,-0.0426510652415945,-0.0446064131532317,-0.0507065427531631,-0.0513130813075092,-0.0540728289165164,-0.0560948357783989,-0.0567848120515338,-0.0611244931782881,-0.0611825021228923,-0.0648433099161137,-0.0675876417681066,-0.0700635528543869,-0.0753586144793511,-0.076132288649028,-0.076328749960553,-0.0790677411685146,-0.0820186981790174,-0.0822013065129094,-0.0844232759382848,-0.0853800656815882,-0.0886125847938677,-0.0886503263413148,-0.0915663827215648,-0.0940180158585158,-0.0988790780432279,-0.1032100381368719,-0.1046919676070081,-0.1116788926272274,-0.117557569843085,-0.1206979832618552,-0.1253572371335185,-0.1314112442531994,-0.1325040279628163,-0.1369079477846987,-0.1381664397494429,-0.140806648278799,-0.1490268396813835,-0.1544343799856297,-0.1605268035264005,-0.1684401121479212,-0.1725944981097219,-0.175000640896169,-0.1844245940392209,-0.1959932789343207,-0.2091777401026084,-0.2094701455859907,-0.2206244874227507,-0.2255905960110657,-0.2362517022834722,-0.2397100001659545,-0.2461192219263086,-0.254898905064751,-0.2639695185788458,-0.2684293749438711,-0.2792820028848336,-0.2824090642811094,-0.2901669711099895,-0.2942418797423978,-0.3057413571088966,-0.3169146462161994,-0.3243727779305367,-0.3588304029318717,-0.3868274421471935,-0.4356890628499782,-0.521290796925801,-0.6118863968678293,-0.7218044603652802,-0.8217058692587655,-1.035569781748796,-1.2838475164295549,-1.7893638898800048,-2.510465198878204,-3.885959220749994,-6.056365280841841,-9.199272093372482,-14.237182565733423,-inf
0.004,3,4,0.7349734306335449,0.0673158295148362,0.066537058967071,0.0593870579337445,0.0552743040192199,0.0518411483318267,0.0451838190068679,0.0324506416863277,0.0294199024845312,0.0230027584947904,0.0210638450914613,0.0170296140805773,0.0144308943414735,0.0144252794302403,0.0143146195574879,0.0136695957510663,0.0136162629653067,0.0121826671439733,0.0112690984684823,0.0100371732525843,0.0086581334369702,0.0068044337597091,0.0061212199084269,0.0045624309397058,0.0022907164321928,0.0011179121989797,-0.0014229452585293,-0.0024990435361228,-0.0037322942790626,-0.0050984390047376,-0.0056194112251502,-0.0068600536087547,-0.0070446538782433,-0.0071087704327666,-0.0073275016871419,-0.0073989218106113,-0.0078139431267663,-0.0082196345730353,-0.0087967816849277,-0.0089171981584992,-0.0092009356124606,-0.0092165744890469,-0.0104099146126646,-0.0108796913729624,-0.0108838635380766,-0.012761098851777,-0.0147652157755412,-0.015059623800761,-0.0153647980827342,-0.0158236938037782,-0.0170829713810146,-0.0263566244236609,-0.0390586877841883,-0.0430867164690159,-0.044256082538289,-0.0480778515149421,-0.0483751081600038,-0.0503629226460407,-0.0511510975034611,-0.0547928046466267,-0.0550346868259024,-0.0570720968794011,-0.0615938629825603,-0.0626470959411212,-0.0675699911468994,-0.0677075746480641,-0.0696120689093838,-0.0700568696128112,-0.0744299231388024,-0.0755411028488813,-0.0757056342563019,-0.0789609163805114,-0.0800992202062261,-0.0810453243301102,-0.082076252444507,-0.0839778750096865,-0.0865717376233069,-0.0885469438153472,-0.0909094329196228,-0.095048305147586,-0.0996598809941655,-0.1000216428343332,-0.1084529484621378,-0.108530408163626,-0.1128684366689886,-0.1206483909174727,-0.1228734825756677,-0.1267485301108049,-0.135388590077666,-0.1396451944348288,-0.1448497486495568,-0.1536792740929058,-0.1614728849104648,-0.1654647542041779,-0.1736960978478376,-0.1926811486002922,-0.1995616451761107,-0.1995950135993034,-0.206352186386167,-0.218673329468363,-0.2304623963864024,-0.2339189516800957,-0.2393709786839001,-0.2471402466744707,-0.2529004345382366,-0.2616724216952669,-0.2708390727685984,-0.276827093272412,-0.2825517716203015,-0.2892719707539689,-0.2979844490912058,-0.3124778230377507,-0.3196224407206458,-0.3360650296312221,-0.3637102638691489,-0.4212872952426147,-0.4824909869705929,-0.5551548721884244,-0.6575451283425406,-0.8166602073326645,-1.0250847673559074,-1.342648794706329,-1.8293876174282624,-2.6906275782994338,-4.04797197012927,-6.146776507671691,-9.521153208744618,-14.363290187173291,-inf
0.005,3,4,0.7332284450531006,0.0661585457713651,0.0599078594991767,0.0539615758989792,0.0537451323055244,0.051376285654035,0.0454468583478344,0.0340149888268651,0.0272759837387241,0.0204062907250957,0.0204041583919334,0.0186412453114671,0.0181173884143837,0.0164786743277896,0.015871336012759,0.0134179623606972,0.0129464193801357,0.0121971746812122,0.012124278264395,0.0082322032083275,0.0077505669054456,0.0071692168316637,0.0066066814207036,0.0043590795415942,0.0040111009396976,0.001054645253675,0.0009289931971192,-0.0018417855228101,-0.0043358544002166,-0.0049088417000873,-0.0059421340846257,-0.0060615382872873,-0.0064558941128719,-0.0069439332486818,-0.0070593929831363,-0.0072329969246161,-0.0076528296634008,-0.0078439660490583,-0.0081613951712121,-0.0084696937262933,-0.0086931642696578,-0.0094340244532092,-0.0095612851706582,-0.0101920412618305,-0.0116863268300396,-0.0121336552165735,-0.0139322340088384,-0.0153663973238958,-0.015575224065379,-0.015762587533907,-0.0163101090053453,-0.0238441239758131,-0.0363136597080073,-0.0375276500429516,-0.0426297483571314,-0.0466312864203396,-0.0475215794767462,-0.048138848268375,-0.0508151509701293,-0.0537973966797388,-0.0555498175134264,-0.0577210682940889,-0.0597652873132451,-0.06078142882998,-0.0646092921566631,-0.0649024205143961,-0.0658043272246176,-0.0679251741013623,-0.0710381874981929,-0.0712583229955845,-0.0734262390106238,-0.074322772273699,-0.0761881077934246,-0.0772092340059149,-0.0783717591141696,-0.0796347579617495,-0.0831665271778334,-0.08475311069469,-0.0852049657076033,-0.0894846492385735,-0.0967771824322842,-0.0977827259783909,-0.1011432762818418,-0.1037072814323967,-0.1039027753131959,-0.1153337715422807,-0.1180053944534074,-0.1217126856343922,-0.1305102978238891,-0.1358692917378134,-0.1420664103599965,-0.146756469666914,-0.1603396675256484,-0.1651790121323564,-0.1744333561612554,-0.186011846770591,-0.1933015762053374,-0.1949685372730394,-0.210880719194713,-0.2153539849914985,-0.2293161622984487,-0.2358433198631535,-0.2418691554341519,-0.2480739361883787,-0.2552982868056836,-0.2647254179205977,-0.2742870309439386,-0.275100858150588,-0.2871679487465194,-0.2933704708384397,-0.2996011227915108,-0.3189353401042814,-0.3252604991835403,-0.3386080749026959,-0.3741902255587164,-0.4202549307522641,-0.4902167716699676,-0.5752362346455534,-0.6696112651203975,-0.8103614707761801,-0.98209674140019,-1.213173417977219,-1.6296894487382156,-2.3203033317542645,-3.626096697497625,-5.969877639391016,-9.401462735269348,-14.797306907375772,-inf
0.006,3,4,0.7319173812866211,0.0660399911653218,0.0631061171999587,0.0575155340818393,0.0564582605116583,0.0546413235220236,0.0456086684564221,0.0325769668421682,0.0319087486017682,0.0233118165748043,0.0223618256479314,0.0192560963248648,0.0168155305042876,0.0160901410570096,0.0160215176677973,0.0138855508907392,0.0132225275703661,0.0131619307068795,0.0123474640631532,0.0087094979626149,0.0086518038721438,0.0065410559293912,0.0061022826687818,0.0049287333266492,0.0042968208791523,0.0006526028239244,-0.0011388578439138,-0.0029587765128302,-0.0050136258156484,-0.0052954338356048,-0.006343439586071,-0.0063922380505164,-0.0064832471439128,-0.0066828788912453,-0.0071736588510228,-0.0072537348653919,-0.0080768197270318,-0.00830575753194,-0.008333651313976,-0.0086301915452323,-0.0094025818190242,-0.0095534782420573,-0.0102947290924055,-0.0103648439548727,-0.0104056867635942,-0.0117522306630485,-0.0148366261573489,-0.0152233933716107,-0.0152668337941196,-0.015810045341479,-0.0177083811012505,-0.023779834892508,-0.0315570748852878,-0.0358254106683437,-0.0395844987870831,-0.0448290224809429,-0.04539819554173,-0.0470026788532264,-0.0477545401578799,-0.0491921573867081,-0.0498576368707022,-0.0530752716236199,-0.0570307049766174,-0.0577382954850275,-0.0589020327390945,-0.0598771646654047,-0.0609324534152832,-0.0621407929100218,-0.0672118935068779,-0.0681048590285535,-0.0690435963206411,-0.0706610923359476,-0.0723669504853783,-0.0746149458732576,-0.0754251163743247,-0.0755467222465827,-0.0801641091938174,-0.0816829093979129,-0.0816939897980636,-0.0873008531389357,-0.0894700536351289,-0.0910234748505318,-0.0930065541434148,-0.0954963836459574,-0.0991324844986862,-0.1047901287905524,-0.1084190672411017,-0.1104673048913464,-0.1180185020827695,-0.1247310732426498,-0.1286017174420652,-0.1394727865567494,-0.1466127149403609,-0.1507337940561949,-0.1623642227220175,-0.1774104103297299,-0.1859069671455989,-0.1918496645767679,-0.1977592552779104,-0.2075784902359644,-0.2182541457593663,-0.2291553177507677,-0.2353248345557098,-0.2436884191000841,-0.2522942941048808,-0.2570980674965525,-0.2667995916052021,-0.2707097641990209,-0.278042090814284,-0.2862659264833578,-0.2966959617443853,-0.3074505101920021,-0.3094147869949502,-0.340229688394653,-0.3580096244093216,-0.4075955436719198,-0.4752939287941656,-0.5426621909319364,-0.6299336946964478,-0.7709194210832048,-0.9433771971919308,-1.2434951672883658,-1.6919512300881367,-2.4909890331900444,-3.905885899244588,-6.034282602609447,-9.625596826001996,-14.87400040799293,-inf
0.007,3,4,0.7318000793457031,0.0649716357947784,0.0623392707417186,0.0560419804914084,0.0536519746555217,0.0499052068327095,0.0402700411800972,0.0340481774366487,0.0312228753837747,0.0267611034986001,0.0263848809165841,0.0229189804094413,0.0204441449962732,0.018798713419723,0.0168583716366621,0.0153150330452682,0.0143718700722152,0.0143100318904185,0.0123872859159548,0.0102905792428138,0.0081571093287522,0.0078395806292731,0.0065510363596247,0.0062828452153229,0.0057461545785569,0.0024126764295531,0.0014486626216826,-0.0027732239613876,-0.0035491040989569,-0.0057969205954081,-0.0060742889464565,-0.006313134343199,-0.0068649345817547,-0.0068759559410912,-0.0069284245416205,-0.0073953071938641,-0.007422034268894,-0.0079037923283049,-0.00829623511623,-0.0093213415411495,-0.0094514542087888,-0.0095122613401151,-0.0096799735291346,-0.0098608472348516,-0.0122666358212497,-0.0125229413740893,-0.0152055763856281,-0.0154086712242869,-0.0154248834969908,-0.015620394122541,-0.0161519407152975,-0.0232418148650092,-0.032232355111905,-0.0333443572154596,-0.0382142791458266,-0.0426874125043565,-0.0433373979230255,-0.0446265357132144,-0.0453444180148928,-0.0477472667611328,-0.0482841555970085,-0.0485959814787338,-0.0529334113890557,-0.0533696897987887,-0.0561802110009508,-0.0568011835043275,-0.0586170559371401,-0.0591192774643189,-0.0623958543928796,-0.06392331006897,-0.0645893121428682,-0.066326861441593,-0.0685102504115499,-0.0708226513438337,-0.0713661463392629,-0.0717099451728988,-0.0770165167967872,-0.0777040714304913,-0.0807570440171053,-0.0831689696959924,-0.0873327046310477,-0.0882482278908898,-0.0899367837798789,-0.0924566542907772,-0.0964534612261193,-0.1007348965049277,-0.104058185692607,-0.1066484336662333,-0.1119127080764014,-0.119922807865364,-0.126616960385927,-0.1377361312125084,-0.1438393122099114,-0.1505676001925244,-0.1587099991301589,-0.1688652711767989,-0.1782426515139451,-0.1886730267878153,-0.2003138559122885,-0.203027860843149,-0.2136208832244762,-0.2269967131651089,-0.232410050130653,-0.241007066826564,-0.2482047944259073,-0.2555136303105747,-0.2666143058336309,-0.2680081032266458,-0.2810373607125691,-0.286745435426339,-0.2938645115008004,-0.3050874337533275,-0.3183469520349283,-0.3344358011687807,-0.3631514770677841,-0.4075192948181396,-0.4651751544608865,-0.5426839062377151,-0.6469971318894936,-0.7569340846725582,-0.9207165506137192,-1.196174820369777,-1.5814868696635922,-2.2737568773026706,-3.592779915585653,-5.7237543141934415,-9.540648425284362,-15.417493921885791,-inf
0.008,3,4,1.1987268924713137,0.0585846758521621,0.0575242821627029,0.0525729982388974,0.0501197492624049,0.0444403687682389,0.0429255826170608,0.0365877710367473,0.0290037493930705,0.0241509664907264,0.0234028863313389,0.0203985720189668,0.0185039086605937,0.0184835819267071,0.0182023048162517,0.0155778852190403,0.0148402541756457,0.0145402246896723,0.0129307108554144,0.0097743086405506,0.0088299570022277,0.0045860310427662,0.0045793116738003,0.0042365679979599,0.0030117449062746,-0.0013103106644631,-0.0025436187214615,-0.0027283207863919,-0.0039237942509748,-0.005352707273905,-0.0056721151846165,-0.0059442658420094,-0.0066413834932983,-0.0071206627022978,-0.0071372970488155,-0.0076147791032611,-0.0078326488224412,-0.0079105392950753,-0.0085241413992248,-0.0090136562982146,-0.0094767846361422,-0.0098897240767353,-0.0104004944863923,-0.0106646996268025,-0.0124837188198203,-0.0132439937523794,-0.0133783530160838,-0.0140624093914166,-0.0152679762172211,-0.0153555983561007,-0.0176921966240367,-0.0214219045593255,-0.029443276715208,-0.0330346670285507,-0.0366450980143407,-0.0386011068009159,-0.0405087800335941,-0.0423995533188683,-0.0440175051328762,-0.0454316595052055,-0.0460073962894016,-0.0474819584873117,-0.0492246067147194,-0.0496207355737879,-0.0538501986640622,-0.054117932142485,-0.0543241776459703,-0.0552909682051808,-0.0603323155633003,-0.0610271218830503,-0.0617352733052282,-0.0626507234068191,-0.0664202096674749,-0.0681835969442638,-0.0684018529162923,-0.0694397517082444,-0.0722128569969538,-0.0758360411259278,-0.0775653582718552,-0.0830187432075647,-0.0858922135438696,-0.086285947970047,-0.0883556222007004,-0.0891507449946065,-0.092087471294926,-0.0958852680371579,-0.1011021741467887,-0.1015473102167295,-0.1080708524533814,-0.1145963774240611,-0.1224680971006626,-0.1253546849496742,-0.1366898379678245,-0.1382446635989737,-0.1485233028336607,-0.1564144033833368,-0.1784485038502769,-0.1801034160886803,-0.1883872237543041,-0.1949139649069595,-0.2102792666652229,-0.2213695858948848,-0.2305944346138149,-0.2407195447264623,-0.2510372400316868,-0.2546233510078022,-0.2675411084089645,-0.2679772723851011,-0.2768321529997905,-0.2843426364035032,-0.2915696501445721,-0.3004018177653308,-0.3111190063875875,-0.3345063741602319,-0.3625906167849755,-0.4026641418218497,-0.4435708813434565,-0.5280621863800574,-0.605110832669836,-0.7251877825575185,-0.8930983374208795,-1.1545382483636275,-1.6415196959859228,-2.346322098699265,-3.739168867351837,-6.083273146794074,-9.82795434750466,-15.363879620574062,-inf
0.009,3,4,1.1664209365844729,0.0660635721764895,0.0622255118132189,0.0563402804061162,0.0550909409153134,0.0496518720197297,0.0470985544812371,0.0401881946060694,0.0333626546774685,0.0302554844679814,0.0274171302875376,0.0228739555885696,0.0207436826312833,0.018788045532951,0.0175698592288971,0.0165019941113144,0.0162905950106422,0.015914128689217,0.0133886838041723,0.0120678503515664,0.011352055166965,0.0089978051277785,0.007006455400844,0.0068390626472609,0.006311613073442,0.0032141172395847,0.0026433691121166,-0.0033293456317575,-0.0045319286522017,-0.0054719726897716,-0.005963759094632,-0.00647615973129,-0.0068953797194446,-0.0070006679104287,-0.0071503048136913,-0.0072566267108784,-0.0074597977979486,-0.0077844009912213,-0.0085342632795767,-0.0087627955628163,-0.0087630765548958,-0.0098072130692554,-0.0099219564699647,-0.0099861651518468,-0.0128689500274193,-0.0138399559807298,-0.0146914383383869,-0.0159255879578618,-0.0171210830764056,-0.0176249386096015,-0.0198872420326216,-0.0226533155437297,-0.0275204607427714,-0.0321401758936892,-0.037164697208062,-0.0389496910077746,-0.0391420528214555,-0.0421166851532827,-0.0423416914588789,-0.0443530621282184,-0.0445477068520151,-0.0464482664792832,-0.0495866902176304,-0.0500110885263512,-0.0523395877398494,-0.052871436190439,-0.054091884796279,-0.055230004900226,-0.0573108400449281,-0.0583819313530913,-0.0603489547786144,-0.061859945706093,-0.0650031633672583,-0.0654776196505391,-0.0659802446284154,-0.0669482656242112,-0.0694525500881654,-0.0731790053130773,-0.0737245405816975,-0.0780681832737511,-0.0812633224246501,-0.0830813481354285,-0.0863465058628619,-0.0888859377416374,-0.0901087525681837,-0.0926277803174396,-0.0960195551709413,-0.0990932628488082,-0.1035892750451509,-0.1090080933852482,-0.116253185209555,-0.1207905088632592,-0.1306918823816474,-0.1327815002984221,-0.1429194414843195,-0.1473788594017883,-0.1616891297638976,-0.1685048786902371,-0.181671475728859,-0.1915011575185112,-0.205644135843846,-0.2143010161533188,-0.2250311870498349,-0.2381136918402611,-0.2482388877973475,-0.2516430008702537,-0.2635283970529707,-0.2695199168263734,-0.2757134393210982,-0.2841120895958852,-0.2944925646138045,-0.3050243880766395,-0.3226257934733362,-0.3374875250390025,-0.3634878955622087,-0.3920341949843353,-0.4381732557948225,-0.5085701215820067,-0.6005603963035472,-0.7415647545963152,-0.9413385623876046,-1.198268160740522,-1.6006865186136752,-2.3403062087322453,-3.7636882793037536,-5.9969535698785705,-9.719675868802996,-15.063042376208356,-inf
